RawReturnMax,RawReturnMin,RawReturnAverage,Median Bonus,NumSamples,ExplainedVariance,ReturnMax,Mean Discrim,BonusRewardMax,Entropy,Perplexity,BonusRewardAverage,Iteration,BonusRewardMin,ElapsedTime,PathLenMax,ReturnAverage,AverageDiscountedReturn,PathLenMin,NumTrajs,ReturnMin,PathLenAverage
2.0,-12.0,-9.156084656084657,0.0,54438,8.785047134196589e-10,2.0,1.0,0.0,16.896685710116945,21783986.8595,0.0,0,0.0,8.524637699127197,500,-9.156084656084657,-3.9378420773948317,21,378,-12.0,144.015873015873
2.0,-12.0,-9.076712328767123,0.0,55454,9.097420594628147e-10,2.0,1.0,0.0,16.896138280210863,21772064.9171,0.0,1,0.0,15.52171516418457,500,-9.076712328767123,-3.596043811278828,22,365,-12.0,151.92876712328768
1.0,-12.0,-8.84894259818731,0.0,54846,9.204523809813736e-10,1.0,1.0,0.0,16.897529111587822,21802367.256,0.0,2,0.0,22.7937650680542,500,-8.84894259818731,-3.4111729991413666,20,331,-12.0,165.6978851963746
1.0,-11.0,-8.657051282051283,0.0,53228,9.218487084794447e-10,1.0,1.0,0.0,16.898511789250218,21823802.4855,0.0,3,0.0,29.34939694404602,500,-8.657051282051283,-3.439183762662584,13,312,-11.0,170.60256410256412
1.0,-13.0,-8.891975308641975,0.0,55315,9.531792022343666e-10,1.0,1.0,0.0,16.904565089723118,21956309.1662,0.0,4,0.0,35.87630295753479,500,-8.891975308641975,-3.303279327333821,20,324,-13.0,170.72530864197532
1.0,-12.0,-8.891447368421053,0.221566772622,54561,9.758189811748252e-10,1.0022631652706377,1.02182185009,1.1645538704596767,16.90512770523793,21968665.602,-0.022024606905298536,5,-1.278630725616484,43.66557812690735,500,-8.89184265940045,-3.1039824712005895,23,304,-12.0,179.47697368421052
2.0,-12.0,-8.709030100334449,0.00480326194057,53863,9.57025458880878e-10,2.000026245875377,0.995262778632,1.0930203578884994,16.90297901762136,21921512.4791,-0.00684139881833237,6,-1.2481814898446366,87.67688989639282,500,-8.709153343901187,-3.163953084892459,14,299,-12.000028937899689,180.1438127090301
1.0,-12.0,-8.407017543859649,0.000305673534753,55513,9.852461069215224e-10,1.0000932929837825,0.999422008779,0.05269534651709595,16.90573126779176,21981929.0682,7.899322678428072e-05,7,-0.0495494953689118,125.40803909301758,500,-8.407016005210176,-2.9391688547062316,21,285,-12.000001647356122,194.7824561403509
2.0,-12.0,-8.695081967213115,-0.001622542455,55803,9.732208372525974e-10,2.000028010379271,1.00157458254,0.03707249704679342,16.901873034320023,21897281.0546,9.132420637791001e-05,8,-0.041435365416770904,139.59695410728455,500,-8.695080296339446,-3.100470251176914,13,305,-11.999987847780215,182.9606557377049
2.0,-12.0,-8.713780918727915,0.00194086606852,55225,1.0079479473290576e-09,2.0000029417864993,0.998065917664,0.028234313251256464,16.902061464605193,21901407.5543,0.00010357919491136783,9,-0.03110291202211553,154.50934267044067,500,-8.713778897469595,-2.845486502281929,21,283,-12.000001154367208,195.14134275618375
1.0,-13.0,-8.183206106870228,0.00405677969662,56234,1.0310938769464428e-09,1.0000832116519542,0.99570453279,0.033269587815628034,16.90439659381206,21952609.9295,0.00025763501617634405,10,-0.03021037228012055,168.28775215148926,500,-8.183200577157445,-2.6869987808988274,22,262,-12.999906521711246,214.63358778625954
2.0,-12.0,-8.424561403508772,0.00149160290935,55515,9.739704598388244e-10,2.0001329710118663,0.99826528831,0.029476390653400387,16.903197764815783,21926308.2729,0.00031118679025910655,11,-0.02291245844316887,183.26225900650024,500,-8.42455534191766,-2.9673341827076567,19,285,-12.00000304056939,194.78947368421052
