BonusRewardMin,ElapsedTime,Iteration,ReturnAverage,PathLenAverage,ReturnMin,Median Bonus,Perplexity,NumTrajs,BonusRewardAverage,RawReturnMin,ReturnMax,PathLenMin,PathLenMax,RawReturnAverage,AverageDiscountedReturn,Entropy,NumSamples,Mean Discrim,BonusRewardMax,ExplainedVariance,RawReturnMax
0.0,105.89411759376526,0,0.0,500.0,0.0,0.0,68.3178737814,128,0.0,0.0,0.0,500,500,0.0,0.0,4.2241714275292335,64000,1.0,0.0,0,0.0
0.0,109.36215424537659,1,0.0,500.0,0.0,0.0,68.3178737814,128,0.0,0.0,0.0,500,500,0.0,0.0,4.2241714275292335,64000,1.0,0.0,0,0.0
0.0,112.49720096588135,2,0.0,500.0,0.0,0.0,68.3178737814,128,0.0,0.0,0.0,500,500,0.0,0.0,4.2241714275292335,64000,1.0,0.0,0,0.0
0.0,115.45578336715698,3,0.0,500.0,0.0,0.0,68.3178737814,128,0.0,0.0,0.0,500,500,0.0,0.0,4.2241714275292335,64000,1.0,0.0,0,0.0
-1.8768896074108568,118.34242844581604,4,-0.00021190469352949732,500.0,-0.031674554136350785,-0.238389168474,68.3178737814,128,-0.004238093870589956,0.0,0.03948685958663501,500,500,0.0,-0.0002507063740905929,4.2241714275292335,64000,-0.11721348753,1.8587231668821222,0.0008035787751790036,0.0
-0.14335853265398363,136.40908813476562,5,-9.552051575342229e-05,500.0,-0.0016484420070722052,0.0348829555388,69.107182346,128,-0.0019104103150684457,0.0,0.0009221072966623491,500,500,0.0,-0.00011865610505820572,4.235658666703558,64000,0.969779999763,0.10198950858073887,0.43241342497072266,0.0
-0.16976808222410278,142.1780607700348,6,-0.0001200723310348348,500.0,-0.0010084823847912683,0.0438554252394,68.6373762511,128,-0.002401446620696695,0.0,0.001101205157652894,500,500,0.0,-0.00015940150994043473,4.228837229668923,64000,0.96248567895,0.11862052031283732,0.46423634969816496,0.0
-0.1962342827941801,147.9450306892395,7,-0.00013158057379224618,500.0,-0.0019172644379700078,0.0414346539498,67.7715826129,128,-0.0026316114758449236,0.0,0.001862872954313535,500,500,0.0,-0.0001930026121218793,4.21614297158214,64000,0.963924429322,0.1046481209937682,0.366025871422167,0.0
-0.2319611705362004,153.73464941978455,8,-0.00019984870946204047,500.0,-0.0019751658430531517,0.0625892458364,68.289047337,128,-0.003996974189240808,0.0,0.001554379676595364,500,500,0.0,-0.00022962417728445634,4.223749392618931,64000,0.947182860618,0.11803180647527389,0.31414926519989295,0.0
-0.44288744061918184,159.57253217697144,9,-0.000280094333705105,500.0,-0.0035547290654344777,0.0986007874983,68.2576423115,128,-0.0056018866741020966,0.0,0.0013040096608380569,500,500,0.0,-0.00031645417690071465,4.223289403055718,64000,0.914299371189,0.18470098145443534,0.24541434335129297,0.0
-0.6150582157910676,165.4107527732849,10,-0.0004477796256537128,500.0,-0.003534421431712456,0.182225731006,67.2728139144,128,-0.008955592513074257,0.0,0.00323146821891842,500,500,0.0,-0.0004429164698550119,4.208756201315944,64000,0.852877453759,0.20928302991219405,0.15384648463525563,0.0
-0.8130201801572653,171.15057063102722,11,-0.0006043581370191864,500.0,-0.0057342222670217335,0.222863573264,66.867779038,128,-0.012087162740383723,0.0,0.003584101451622325,500,500,0.0,-0.0005591838389703019,4.2027172223849085,64000,0.839816551893,0.2817066313248151,0.08841531501124911,0.0
-1.0739511619822677,176.9708275794983,12,-0.000656276227961913,500.0,-0.007956331326134618,0.427950143369,66.7492838902,128,-0.013125524559238261,0.0,0.00468623209809285,500,500,0.0,-0.0007060935557237175,4.200943568985923,64000,0.725077948121,0.4621574233315523,0.0398082173314801,0.0
-1.6557083850939927,182.7394781112671,13,-0.001210775192483096,500.0,-0.012986087398235148,0.483671489971,64.9933879519,128,-0.024215503849661917,0.0,0.0075474070318027175,500,500,0.0,-0.001113528542177277,4.174285540903934,64000,0.727678261002,0.4586070645018302,0.021056023200738516,0.0
-2.0296062021177774,188.49788975715637,14,-0.0011181968117097369,500.0,-0.013759415920788182,0.533384826736,64.1188001821,128,-0.022363936234194737,0.0,0.013013334783959652,500,500,0.0,-0.0012802680670883284,4.160737615496048,64000,0.69317209726,0.7750718784393609,0.010685032580015297,0.0
-2.6524945142915253,194.41148686408997,15,-0.002109943552950219,500.0,-0.018693474198830703,1.0084611822,62.8458420865,128,-0.04219887105900436,0.0,0.014094129522957336,500,500,0.0,-0.0019365491374708362,4.140684776705924,64000,0.516088980296,0.8151425111780757,0.009018302065323724,0.0
-3.3533417998796553,200.10958647727966,16,-0.002193412787991109,500.0,-0.016634987324526108,0.803514265649,61.9139385311,128,-0.043868255759822165,0.0,0.019007068584449775,500,500,0.0,-0.002434388454338873,4.125745332550082,64000,0.62398212343,0.8375082900084312,0.005834847140106625,0.0
-3.291119310721669,205.9610788822174,17,-0.002846797299160892,500.0,-0.01717287766559102,1.37697915371,61.7152440673,128,-0.05693594598321784,0.0,0.013503614220403925,500,500,0.0,-0.00307603489296924,4.122530967936253,64000,0.452294471792,0.9816064235337003,0.0042783635308456525,0.0
-3.729800500651903,211.69285702705383,18,-0.0030710672990905716,500.0,-0.035639521971067054,1.18849473081,61.200081492,128,-0.061421345981811454,0.0,0.017300828291928475,500,500,0.0,-0.0029065057785376065,4.114148521085414,64000,0.505669839001,1.6528281403348573,0.003321427741146632,0.0
