dLoss,MeanKL,AverageDiscountedReturn,MaxReturn,ExplainedVariance,LossAfter,Expl_StdKL,StdReturn,MinReturn,BNN_DynModelSqLossAfter,AverageReturn,Expl_MeanKL,Iteration,AveragePolicyStd,Expl_MaxKL,Entropy,Perplexity,BNN_DynModelSqLossBefore,Expl_MinKL,NumTrajs
0.00480004727015,0.00971063657504,6.84912307942e-05,1.0,1.3074380789e-05,-0.00480004727014,0.0,0.0870362919923,0.0,247.933740474,0.00763358778626,0.0,0,1.0,0.0,2.83787706641,17.0794684453,882.240491285,0.0,131
0.00548932142878,0.00642092516302,0.0,0.0,0,-0.00548932142878,1.68237118082,0.0,0.0,85.5798642485,0.0,1.75958152612,1,1.00111630337,39.279994827,2.84010771665,17.1176092894,248.625631073,0.0247133187942,131
0.005285359352,0.00650530200422,0.0,0.0,1,-0.005285359352,0.324027207499,0.0,0.0,28.9774544869,0.0,0.342146110274,2,0.997202662512,7.3818204132,2.83227077133,16.9839838131,86.5788773672,0.00397703080076,131
0.00700997741093,0.00936808414776,0.000414138609865,1.0,4.35193450155e-06,-0.00700997741093,0.0661856104215,0.151137327277,-1.0,11.2743857064,0.00763358778626,0.0594038436502,3,1.00218092444,1.42873482343,2.84223072692,17.1539887531,29.0811207425,0.000658681750783,131
0.00529666981035,0.00716467936424,0.000683965605017,1.0,0.0292150692729,-0.00529666981035,0.0137289860115,0.172052330833,0.0,7.02150419178,0.030534351145,0.0108095721539,4,1.00916049767,0.240708672522,2.85609657079,17.393499958,11.3920523224,9.53683306063e-05,131
0.00483087815322,0.00705716377406,4.9384239708e-05,1.0,-0.0264438837405,-0.00483087815322,0.00350239973217,0.151137327277,-1.0,6.45487845371,0.00763358778626,0.00306794989274,5,1.0043694138,0.0743024960458,2.84650252492,17.2274238662,7.11200113937,1.41833157637e-05,131
0.00595069901374,0.00916278177274,0.0,0.0,0,-0.00595069901374,0.00163023101649,0.0,0.0,6.37995579262,0.0,0.00174902781912,6,1.01147945599,0.0295264298639,2.86052273499,17.4706570738,6.45736670816,1.60444919338e-05,131
0.00643693830882,0.00950952952694,0.0,0.0,1,-0.00643693830882,0.00166917845191,0.0,0.0,6.40647388913,0.0,0.00185353939748,7,1.02129753578,0.0313836739275,2.87998442275,17.8139956844,6.4877505058,1.49819807877e-05,131
0.00516364584428,0.00760662518787,0.000179893446756,1.0,4.35411150701e-06,-0.00516364584428,0.00197435436297,0.151137327277,-1.0,6.41160120731,-0.00763358778626,0.00203878379513,8,1.03613407307,0.0321116488597,2.90878783513,18.3345605814,6.35381612678,1.86624649966e-05,131
0.00626130458225,0.00642633914722,-0.000644936833049,1.0,-0.0861203401906,-0.00626130458225,0.00162828518067,0.151137327277,-1.0,6.44949274571,0.00763358778626,0.00189002525844,9,1.03525078822,0.0252748350584,2.90716233714,18.3047819991,6.38924547835,1.13661061955e-05,131
0.00564726540002,0.00725643044739,0.000163220012605,1.0,-0.139609702377,-0.00564726540002,0.00157149175367,0.151137327277,-1.0,6.49390077555,-0.00763358778626,0.00187638568852,10,1.03791646406,0.0275754452517,2.91226754637,18.3984706878,6.37382856432,1.6857455123e-05,131
0.005656745013,0.00697481187457,0.0,0.0,0,-0.005656745013,0.00153867593632,0.0,0.0,6.40576095152,0.0,0.00181638752242,11,1.04058040998,0.0276228507042,2.91743398984,18.4937713173,6.33141046796,1.25044370398e-05,131
0.00700052846108,0.00965943235672,0.0,0.0,1,-0.00700052846108,0.00149017756607,0.0,0.0,6.39842256447,0.0,0.00165579782306,12,1.03559239157,0.0336319369026,2.90766627861,18.3140088627,6.41908153602,2.03453910602e-05,131
0.00611110477388,0.00642781581591,0.0,0.0,1,-0.00611110477388,0.00180517834526,0.0,0.0,6.37082601238,0.0,0.00195886382531,13,1.04601406692,0.0388916755095,2.9274602042,18.6801264902,6.33495443526,1.35613715598e-05,131
0.00583354573258,0.00987914633347,-0.0001226856262,0.0,1.30761132198e-05,-0.00583354573258,0.00215166460555,0.0870362919923,-1.0,6.41561704711,-0.00763358778626,0.00239849267041,14,1.05753577534,0.0699105246438,2.94947243253,19.0958767069,6.40117017069,2.89378954075e-05,131
0.00649840662295,0.00987581362864,0.0,0.0,0,-0.00649840662295,0.00202297098961,0.0,0.0,6.37242976271,0.0,0.0022546088003,15,1.0617041245,0.0413889199999,2.9565620086,19.2317394129,6.48095188529,1.17234903543e-05,131
0.00344096920107,0.0067072819036,5.16916528847e-05,1.0,1.30741077091e-05,-0.00344096920107,0.00232973777773,0.0870362919923,0.0,6.29828219576,0.00763358778626,0.00277699353937,16,1.06561073593,0.0332190239437,2.96397902033,19.3749117489,6.37237195788,1.23223458803e-05,131
0.00688765348112,0.0097978526873,0.0,0.0,0,-0.00688765348112,0.00211139672697,0.0,0.0,6.39311166989,0.0,0.00254966705082,17,1.06906738678,0.0338242485177,2.970260787,19.4970034982,6.38386306158,1.64487411516e-05,131
0.00773061414395,0.00969790464573,0.0,0.0,1,-0.00773061414395,0.00199572266698,0.0,0.0,6.43756984174,0.0,0.00245430760549,18,1.05433043501,0.0490077794071,2.9417459139,18.9489005978,6.43560514662,1.39286622735e-05,131
0.00544013294484,0.00672359274059,-0.000462325658659,0.0,1.31166998426e-05,-0.00544013294484,0.00208238677855,0.0870362919923,-1.0,6.36710383222,-0.00763358778626,0.00261018940693,19,1.05281249988,0.0457383583596,2.93892315008,18.8954877483,6.26561812685,1.23745728429e-05,131
