NumTrajs,Iteration,MeanKL,LossAfter,MeanKLBefore,MinReturn,AverageReturn,MaxReturn,AveragePolicyStd,Perplexity,StdReturn,Entropy,dLoss,AverageDiscountedReturn,ExplainedVariance,LossBefore
229,0,0.051592365767749636,-0.0526181066201422,0.0,-303.8273495262619,12.399412525534753,251.0591984310314,1.0,85093.69866986667,65.46553314695232,11.351508265637381,0.05261810662014229,6.652344125689229,1.4320322705430044e-11,9.311395111353524e-17
238,1,0.052198840203242176,-0.05355075964428595,0.0,-174.60734221611773,23.695109151477993,223.60244506892494,1.0000226355386992,85109.08083095141,59.52776850341449,11.351689016635358,0.05355075964428597,8.01265441210197,0.159683413006813,2.0664864785781233e-17
238,2,0.07636266693403573,-0.06218246298166148,0.0,-171.21720790922902,33.49583390426155,273.65803716368333,0.9999349566726797,85049.37247613256,60.93749905559761,11.350987219503226,0.06218246298166154,12.7250695562532,0.17614306047770056,5.796777998930233e-17
208,3,0.07841710842082243,-0.06540087465734051,0.0,-152.1843551268332,42.664866071246166,309.21213507487874,1.000354526847829,85334.69904250691,66.71353709238225,11.354336439069899,0.06540087465734043,17.80596720048068,0.2012745293927476,-8.104765387671977e-17
236,4,0.051604298405246274,-0.053760854938452216,0.0,-165.08397277780074,50.69592678034329,372.31282051801446,0.9998784629536244,85009.74165480964,74.31391326342201,11.350521136609135,0.053760854938451785,21.035142748564887,0.2475511285946822,-4.29183263222777e-16
222,5,0.07922583894770123,-0.06603576117137323,0.0,-169.4764927000372,57.150315323945,284.65758649481523,1.0009927934353582,85769.510769009,72.76890935166611,11.359418869980896,0.06603576117137251,23.867122088393746,0.257414761622462,-7.160518472243891e-16
191,6,0.07703170470439202,-0.06798780163640754,0.0,-170.14218585086428,64.774012168038,369.15622971508736,1.0010921575137441,85837.44247175638,81.58364328283555,11.360210582729277,0.067987801636408,27.424021098744856,0.2723633596848777,4.545111634257453e-16
206,7,0.0773086017629175,-0.06759483645108061,0.0,-110.21590325056134,70.86937956375922,345.38175035565087,1.00117370054263,85891.7020474103,80.56893824542487,11.36084250315969,0.0675948364510806,28.439627709438305,0.2945983247710694,-1.326887772116435e-17
186,8,0.05162878527211593,-0.056932191933542785,0.0,-191.73772872858027,82.14528046095427,387.51881458018227,1.0024399531968833,86763.85163285093,82.68162213537644,11.370945358063892,0.0569321919335429,28.971299492178577,0.28495568632605117,1.19005644892014e-16
183,9,0.0785777217526973,-0.06567831980175315,0.0,-70.60868320736617,96.98976724322183,362.23164075949234,1.0033232989683731,87378.99529298338,83.04271035076279,11.378010204304548,0.06567831980175311,34.319199212037056,0.3283083286202112,-4.7985698392912216e-17
183,10,0.07882794304682161,-0.06850524803125885,0.0,-70.17587057833221,109.95457835597955,426.28090020548655,1.002380166983715,86718.74669833857,89.63796400663612,11.370425364289732,0.06850524803125861,41.298290215493246,0.3569078700648898,-2.363373743037007e-16
172,11,0.05243955577638506,-0.05782267909881874,0.0,-75.33842975963177,115.07296014624518,454.5066586566858,1.0033013747257993,87358.08069961562,94.1817298009281,11.37777082072383,0.05782267909881863,39.63677851871384,0.3445330700588708,-1.0792787481733323e-16
177,12,0.07840431425622175,-0.06473980570698719,0.0,-82.16918889103427,124.23121344303304,419.7590681529644,1.0034393384274671,87454.6194225677,97.06420887526505,11.378875302637312,0.06473980570698709,43.42422514029756,0.4236702718543397,-9.765918281815635e-17
183,13,0.05186570458885654,-0.057235137231532084,0.0,-72.64292669066106,109.63650303066143,498.32100779116513,1.0034688839802826,87475.25641360403,89.9465836273531,11.37911124851029,0.05723513723153213,40.750618569718995,0.3472426495968558,5.0814580236089566e-17
184,14,0.07978449871757462,-0.07017881318422933,0.0,-56.04693395122583,124.1453005486933,390.3887935800134,1.0034399415048092,87454.14235915389,101.06913254108372,11.378869847639987,0.07017881318422906,43.79707691008816,0.38555215700927614,-2.838259897329714e-16
181,15,0.051467966273397045,-0.058625540993970784,0.0,-40.20046656376559,133.5662894553198,414.42692983762566,1.0035121105529543,87502.24361201741,98.91912534121047,11.379419713297173,0.05862554099397053,49.73496372417001,0.4048584790595431,-2.5912440962982333e-16
199,16,0.07862927564528638,-0.07053546472471808,0.0,-24.903643738153374,123.32319075950835,465.9665995803894,1.00385774973794,87744.45482713681,96.72272937957167,11.382183946478218,0.07053546472471815,47.173055471996605,0.4262319749368074,6.846345797594746e-17
174,17,0.07684294444154886,-0.06930372327399073,0.0,-6.547376351122148,152.31995499501173,551.9803288851266,1.004098135119234,87912.53153697943,104.5959369712252,11.384097639347669,0.0693037232739907,54.003746303577046,0.4295319404004385,-2.4108403986767464e-17
183,18,0.078324363365833,-0.0698399548946945,0.0,-2.413807478055095,155.84390401720296,476.99739877425895,1.0018499318606875,86348.00791180838,119.01980463996328,11.366141013381766,0.06983995489469441,55.201289442730754,0.44868746011661254,-8.195839628684541e-17
186,19,0.0790566155105781,-0.06962186938728582,0.0,-11.890601214919835,162.29007606095323,563.3423615010198,1.0023647502001296,86693.8091648806,117.6378893709255,11.370137754969798,0.069621869387286,54.204708003689746,0.42579391459236016,1.842167232871624e-16
175,20,0.05143677394261754,-0.058364325366789996,0.0,-17.942617496738727,172.74125920495388,474.7754657895011,0.9994058466477328,84655.44801943493,117.2314591340448,11.34634474484571,0.058364325366789996,58.20396022246471,0.47593880466435945,1.6412357983620548e-18
176,21,0.07796612156006796,-0.06949112284959934,0.0,12.278936457405528,176.8084591493794,480.0600275325924,0.9957841090409449,82212.68975507778,115.34977076001324,11.317064945711888,0.06949112284959943,62.0925290033237,0.5087840503234634,1.0150091496183938e-16
