MeanKL,NumTrajs,MinReturn,Entropy,MeanKLBefore,AveragePolicyStd,AverageReturn,Perplexity,LossAfter,LossBefore,AverageDiscountedReturn,StdReturn,Iteration,MaxReturn,dLoss,ExplainedVariance
0.09273177302534626,254,-12.0,11.351508265637381,0.0,1.0,-8.448818897637794,85093.69866986667,-0.06534905896285156,-5.463158077055691e-15,-2.777693606905976,3.598356277015353,0,1.0,0.0653490589628461,1.0082211732154178e-09
0.09509113087786444,215,-12.0,11.356726354416283,0.0,1.0006527516516948,-8.069767441860465,85538.88564648926,-0.06633858303471257,2.1417786148438921e-16,-2.4181886719443524,4.031246266050317,1,2.0,0.06633858303471278,0.15146442344384436
0.06540899505611016,188,-12.0,11.363689153997132,0.0,1.001524664369585,-7.51595744680851,86136.55407173808,-0.05822155051591292,-5.372756552798838e-16,-2.0757425303011363,4.398350831930352,2,2.0,0.058221550515912386,0.1628164730831595
0.06423196804696465,163,-12.0,11.358878276317881,0.0,1.0009267462640021,-6.570552147239264,85723.15684545493,-0.05809701381433058,-2.1268640318489588e-16,-1.6281420344016049,4.781058389837471,3,2.0,0.05809701381433036,0.043291023047173804
0.09867538929372574,162,-12.0,11.350410896668695,0.0,0.9998658804369018,-6.246913580246914,85000.37070248887,-0.06930408252702071,4.4741997882203274e-17,-1.554298215796128,4.80876479660576,4,2.0,0.06930408252702075,0.1027426466205329
0.06453772987976325,158,-12.0,11.347389521078693,0.0,0.9994888137495318,-5.879746835443038,84743.94023875233,-0.060821711800381185,2.0151175191509287e-16,-1.5060986633934237,5.089524604066806,5,2.0,0.06082171180038139,0.09381863878935659
0.06542641294025699,141,-12.0,11.350314169930169,0.0,0.9998564375704718,-5.056737588652482,84992.14929147884,-0.0592360573911727,-8.098285087995213e-18,-1.2078448966435174,5.102875075633663,6,2.0,0.05923605739117269,0.029724700753270272
0.09567777491041919,146,-11.0,11.350277632109814,0.0,0.9998514247892083,-5.198630136986301,84989.04392032854,-0.0679620793021943,2.2538679189423892e-17,-1.3164507326099502,5.021351484034458,7,2.0,0.06796207930219433,0.08169355663809608
0.09863298800334008,131,-11.0,11.36146644841338,0.0,1.0012638205767956,-4.259541984732825,85945.31048986153,-0.06849808134416228,-1.56520050880203e-16,-0.8838457752094887,5.029057226172232,8,3.0,0.06849808134416213,0.05048710707441195
0.09964349315934834,131,-11.0,11.361925456386045,0.0,1.001321805958641,-3.7404580152671754,85984.7691278115,-0.06856452603593882,1.9506935070497185e-17,-1.0083530506452234,4.8686374197071975,9,2.0,0.06856452603593884,0.04266349699483918
0.09902037852759259,127,-12.0,11.379725280626559,0.0,1.0035521555526326,-3.858267716535433,87528.98552443254,-0.07047867151217188,-6.056105345289644e-16,-0.6912274126947542,4.965589321939,10,2.0,0.07047867151217127,0.07717072786966706
0.09544762816501756,117,-11.0,11.376732382738398,0.0,1.0031783228747175,-2.4615384615384617,87267.41183542677,-0.06932059058455822,3.506848785412001e-17,-0.47192018624820453,4.440563723238823,11,2.0,0.06932059058455826,-0.01581026503071814
0.09505935261240744,115,-12.0,11.369785877043396,0.0,1.0023158176384048,-2.7043478260869565,86663.30889358059,-0.06845987872509715,-6.808420150889436e-17,-0.3783489207962229,4.767596993917199,12,3.0,0.06845987872509708,0.06647552583185201
0.0938025470001661,115,-13.0,11.379561891656,0.0,1.0035247780339822,-2.373913043478261,87514.68542186492,-0.07291634749301128,4.163767501210349e-16,-0.38333859405160325,4.480801305599775,13,2.0,0.0729163474930117,-0.060927478984646566
