LossAfter,MeanKLBefore,Entropy,AverageReturn,MinReturn,dLoss,LossBefore,StdReturn,NumTrajs,AverageDiscountedReturn,MeanKL,ExplainedVariance,Iteration,MaxReturn,Perplexity
-0.0854145402983,0.0,1.67574542844,0.00561009817672,0.0,0.0854145402983,-6.07595497365e-16,0.0746901932998,713,0.00533757277539,0.00885066938229,6.38025108635e-07,0,1.0,5.34277632249
-0.101201908028,0.0,1.67261895251,0.00145137880987,0.0,0.101201908028,1.35184609017e-17,0.0380693092848,689,0.00139418869376,0.00922438490313,-1.14290631609,1,1.0,5.32609834611
-0.0811941152076,0.0,1.67617238627,0.00137362637363,0.0,0.0811941152076,5.26501613324e-18,0.0370370020954,728,0.0013328282967,0.00660001738707,-0.172833766287,2,1.0,5.34505794968
-0.0852880318423,0.0,1.67301769449,0.00432276657061,0.0,0.0852880318423,1.8511821368e-17,0.0656054895552,694,0.00404861075313,0.00862326423585,-0.0373245925222,3,1.0,5.32822250859
-0.110458698634,0.0,1.67772847738,0.00602409638554,0.0,0.110458698634,3.21581841616e-17,0.0773809191486,664,0.00584576513539,0.00968224182641,-0.303166156054,4,1.0,5.35338182151
-0.0941747728915,0.0,1.68376200847,0.0029197080292,0.0,0.0941747728915,-5.58474625538e-17,0.0539553828104,685,0.00279091846628,0.00872203825285,-0.176375798566,5,1.0,5.38577925434
-0.0852028552977,0.0,1.68195346897,0.00575539568345,0.0,0.0852028552977,7.12635199947e-17,0.0756456945502,695,0.00543282144421,0.00745544328055,-0.0366346122426,6,1.0,5.37604766245
-0.0904883893133,0.0,1.68810832973,0.00429799426934,0.0,0.0904883893133,-7.93185653084e-17,0.0654180519016,698,0.00414281670473,0.00891032537389,-0.246790564125,7,1.0,5.40923852507
-0.0824700625358,0.0,1.68653532446,0.0028328611898,0.0,0.0824700625358,6.44059089976e-17,0.0531491870802,706,0.00253082809325,0.00926193362948,-0.272452726065,8,1.0,5.40073645303
-0.0777075292419,0.0,1.679151744,0.0,0.0,0.0777075292419,6.38653436085e-17,0.0,693,0.0,0.00891331252838,0,9,0.0,5.36100653592
-0.118159604058,0.0,1.67101832737,0.00738552437223,0.0,0.118159604058,1.8938422259e-15,0.0856211329169,677,0.00691230560733,0.00964794907608,4.05398667302e-07,10,1.0,5.3175800783
-0.0822652289273,0.0,1.6744944104,0.00280504908836,0.0,0.0822652289273,5.94735379609e-17,0.0528883804627,713,0.00264209852382,0.00648287580513,-0.562581443837,11,1.0,5.33609659199
-0.112199993753,0.0,1.66508521111,0.00697350069735,0.0,0.112199993753,-7.42345353407e-18,0.0832158097081,717,0.00648860393069,0.00943098814465,0.0106268770579,12,1.0,5.28612366703
-0.100851659504,0.0,1.65701149358,0.00144717800289,0.0,0.100851659504,1.50367048247e-17,0.0380142562563,691,0.00124465753204,0.00947942609265,-0.568872220906,13,1.0,5.24361682276
-0.0810916864015,0.0,1.65603302524,0.00738552437223,0.0,0.0810916864015,-1.2003460973e-17,0.0856211329169,677,0.00712374610015,0.0093560583057,-0.209715334976,14,1.0,5.23848861901
-0.102205197022,0.0,1.64206792673,0.0133333333333,0.0,0.102205197022,2.50270614026e-17,0.114697670227,675,0.0124603368879,0.00978842773498,-0.0194504413728,15,1.0,5.16584105524
-0.0841487165673,0.0,1.64303939329,0.00699300699301,0.0,0.0841487165673,1.87098866267e-17,0.083331295719,715,0.00670551119903,0.00653020425971,-0.295459067948,16,1.0,5.17086193552
-0.098915470572,0.0,1.65243825557,0.00140056022409,0.0,0.098915470572,7.93099980197e-17,0.0373978429211,714,0.00134537256303,0.00649955337115,-0.917456695638,17,1.0,5.2196912653
-0.114270159495,0.0,1.65448234765,0.0125523012552,0.0,0.114270159495,-7.24395344051e-18,0.111331671093,717,0.012019782639,0.00956469567173,-0.000669563277882,18,1.0,5.23037170708
-0.0886642841739,0.0,1.64907338462,0.0144717800289,0.0,0.0886642841739,-6.87789263882e-17,0.119425071119,691,0.0135466767132,0.00671799465341,-0.0453619537223,19,1.0,5.20215719428
-0.0973828858068,0.0,1.64052580142,0.0093023255814,0.0,0.0973828858068,-5.28723491082e-18,0.0959989183281,645,0.00851514546246,0.00984770859341,-0.0442833843391,20,1.0,5.15788082044
-0.0888129350933,0.0,1.63594205458,0.0046439628483,0.0,0.0888129350933,6.15123567698e-18,0.0679882082229,646,0.00428964421157,0.00641033792429,-0.502912360065,21,1.0,5.13429250325
-0.100158434332,0.0,1.64041163246,0.00589970501475,0.0,0.100158434332,2.9615584676e-17,0.0765826252846,678,0.00565377486417,0.00894001142983,-0.129197438633,22,1.0,5.15729198415
-0.132584378969,0.0,1.64984390751,0.00284090909091,0.0,0.132584378969,-1.49919200684e-16,0.0532244147591,704,0.00263733504505,0.00968707565003,-0.195293985919,23,1.0,5.20616712016
-0.0762742548464,0.0,1.64838570972,0.00277777777778,0.0,0.0762742548464,-9.79709227377e-18,0.052631375893,720,0.002709161125,0.00970307027476,-1.31339779176,24,1.0,5.19858103113
-0.102109317044,0.0,1.63369636114,0.00428571428571,0.0,0.102109317044,1.60365548001e-17,0.0653249335153,700,0.00410394479701,0.00659075595871,-0.0562909602382,25,1.0,5.12277539307
-0.0862741666507,0.0,1.62841772777,0.00746268656716,0.0,0.0862741666507,-2.31263909422e-17,0.0860638999602,670,0.0069069786697,0.00657472141672,-0.0327090502653,26,1.0,5.09580538493
-0.0819693622876,0.0,1.62151615402,0.0,0.0,0.0819693622876,-7.33688768232e-17,0.0,714,0.0,0.00898561500335,0,27,0.0,5.0607573905
