AverageReturn,AverageDiscountedReturn,ExplainedVariance,LossAfter,NumTrajs,dLoss,AveragePolicyStd,MinReturn,MeanKL,MaxReturn,Iteration,Perplexity,StdReturn,LossBefore,Entropy,MeanKLBefore
-156.75194212719353,-27.55213251832327,2.4161117551102507e-11,-0.04651213139587445,100,0.046512131395874415,1.0,-415.601463547823,0.09040025766538828,74.26490496479515,0,4982.221720901863,76.92989425384535,-3.269828852126011e-17,8.513631199228033,0.0
-94.51408446510784,-20.460549729318572,0.3918406050881973,-0.04659256574855057,100,0.04659256574855058,0.9954809077902885,-286.35546598049183,0.08901841900398025,90.14352259633233,1,4847.929902366443,81.69236288958027,3.583799923490006e-18,8.486307068561787,0.0
-40.18426388243614,-13.83997592120904,0.254603525465685,-0.04843857198494641,100,0.048438571984946666,0.9969273273937088,-243.3757939522636,0.06423348272041819,231.00313541140522,2,4888.677162017816,95.30694597982479,2.5404567338682683e-16,8.494677026857287,0.0
12.166009411325554,-4.938402107409043,0.3072083477616184,-0.052177756870410784,100,0.05217775687041119,0.9972511861575236,-217.14778557624058,0.0981551790605714,319.44804099252815,3,4898.125511395394,88.21617312590779,4.076183834911262e-16,8.496607862213482,0.0
43.32839844716896,-0.2628977984354762,0.35920863599154196,-0.04909615764700435,100,0.04909615764700414,0.993560941543024,-149.51458373447784,0.09522312796826922,328.9126342326987,4,4789.120186694074,95.41831418745194,-2.0952670154450458e-16,8.474101996434898,0.0
108.43269544372943,7.448274434070911,0.39126582586305647,-0.048364661179014154,100,0.048364661179013765,0.9893044594754261,-119.67832835184268,0.09683814195582886,398.6426292069202,5,4666.400490500587,99.02988658485923,-3.91068288863039e-16,8.448143280552697,0.0
143.26705551108273,13.818321033398881,0.4608481208510914,-0.05391211226047856,100,0.053912112260478706,0.9850360938388775,-75.21763077202631,0.09848548245914732,421.2896541714511,6,4545.114975556237,115.21075629709132,1.475264355121908e-16,8.421808303443699,0.0
177.45926989700962,17.12388104027809,0.5219681684298814,-0.05284799118417149,100,0.052847991184171696,0.9761027383099946,-170.51862403673465,0.09911513742547413,683.7977099567828,7,4302.795778800936,165.96614781916745,2.1145529771615656e-16,8.367020271521982,0.0
180.25633138251612,20.51565127270214,0.5433946561005013,-0.0522068606056885,100,0.052206860605688424,0.9696853884157901,-115.4662603187471,0.09689496362724877,570.9101355080305,8,4134.080751976514,152.41616932392563,-7.394307388608467e-17,8.327020273668863,0.0
222.0708583510821,26.14986572705896,0.5523615078357542,-0.05378602186724065,100,0.05378602186724103,0.9700682222374925,-83.08232489071108,0.09958345040738101,795.721164673068,9,4137.752819310746,170.9636197217681,3.7898795213209267e-16,8.327908122183658,0.0
