AverageReturn,LossBefore,NumTrajs,Perplexity,MaxReturn,AveragePolicyStd,MinReturn,AverageDiscountedReturn,Iteration,LossAfter,dLoss,MeanKL,MeanKLBefore,ExplainedVariance,Entropy,StdReturn
73.54450566048233,-2.1900733845630375e-16,6122,4.132731354122494,127.32736125300325,1.0,53.52346364221599,70.92068632346619,0,-0.0031843604837624023,0.0031843604837621833,0.0005902416153685879,0.0,2.1008972339586762e-11,1.418938533204673,12.092329537251265
74.8345023058158,5.322630887190622e-17,6017,4.134235185762631,147.10547781905393,1.0003638832315185,53.52691461125622,72.11090616711878,1,-0.013941389336749103,0.013941389336749157,0.0009655162347089935,0.0,0.9008333620131522,1.419302350246745,12.454379871853678
75.35575552399237,6.626860137087788e-17,5976,4.138169664966711,137.59776985148568,1.0013159120151354,53.523439865372374,72.59292448710778,2,-0.013484871030111652,0.013484871030111718,0.0008440655162556372,0.0,0.9010559329732171,1.420253580166399,12.486469702751085
76.14919022287354,-2.127102231092556e-18,5913,4.141390043309427,137.33173241727226,1.0020951492959487,53.52607007833,73.32405078987861,3,-0.012934231350293658,0.012934231350293656,0.0007691136613560098,0.0,0.8962581428213351,1.4210314907361836,12.65395910468338
76.84035277882504,1.131160993350838e-17,5860,4.142850779351245,163.44883374998957,1.0024486046543186,53.523939261150325,73.96834327094558,4,-0.012221265783796127,0.01222126578379614,0.0007470483792812473,0.0,0.9009029772680784,1.421384144911316,12.184439100995855
78.22847550333262,-5.486727338720276e-17,5757,4.1419910963337525,156.29103164601685,1.0022405865317197,53.548748447018816,75.24442886126805,5,-0.01212492250308869,0.012124922503088635,0.0007312367510414358,0.0,0.8968622900302484,1.4211766133655177,12.594547266417791
78.35529414743368,7.212008767965017e-18,5747,4.1475701601800825,156.0562267662198,1.0035905566527534,53.53831858697495,75.36638162823557,6,-0.011761289246415386,0.011761289246415393,0.0007216984478432856,0.0,0.901719257713005,1.422522659197391,12.160234173786995
79.2499659782005,-3.8644737508140276e-17,5683,4.14685547812912,164.27506036890153,1.0034176245190822,53.533559982132296,76.19007600927625,7,-0.011566205408799263,0.011566205408799225,0.000714067328079122,0.0,0.8993748636939777,1.422350330917195,12.25855475538053
80.07203496894121,2.1870956165992264e-19,5625,4.146661917878612,182.15517084202546,1.0033707886050287,53.52818812341587,76.9395417952658,8,-0.011546145911369632,0.011546145911369632,0.000706797229116135,0.0,0.8909857961235947,1.4223036534361455,12.870021141201065
81.42086695658475,-6.264612651200686e-17,5533,4.144320286354324,165.23371269161785,1.002804182328539,53.54738055067384,78.17922426231891,9,-0.010900629231267412,0.01090062923126735,0.0006903045877573432,0.0,0.8905590519150688,1.4217387911486943,12.969382161864075
82.1713583729305,3.518252203358613e-17,5483,4.143157976981876,192.99953284159255,1.002522937487573,53.555926590850675,78.85972505327985,10,-0.010452551397145257,0.010452551397145292,0.0006893206245950703,0.0,0.8803046472872704,1.421458293428366,13.666249095191874
82.80661351543257,1.3380715272890638e-16,5443,4.143520888579675,193.41058388764833,1.002610751469829,53.5292381392363,79.43899169172776,11,-0.011295593026617505,0.011295593026617638,0.000684807365512528,0.0,0.878796579098047,1.4215458825829401,14.081785322272003
83.51913415986395,-1.053337472265458e-17,5398,4.144428851747887,173.82454767966158,1.0028304519754772,53.54342450299786,80.08348538266743,12,-0.010678968231986127,0.010678968231986117,0.0006699743213685724,0.0,0.8718579958033704,1.4217649869936306,14.804575099548124
84.79854916733325,3.8288605901154374e-17,5318,4.142614766448736,199.54502502121247,1.002391496441302,53.569473508004805,81.2541009744277,13,-0.01086512253866795,0.010865122538667988,0.0006693340521485388,0.0,0.8723933517147776,1.4213271745693916,15.005361089315087
85.76502497355291,-5.718294649091215e-17,5260,4.142066636700707,202.7252934695597,1.00225886508904,53.550328609202836,82.11824271631552,14,-0.011019291572011623,0.011019291572011565,0.000662287994426374,0.0,0.8517640844340867,1.4211948508934034,16.411268230325017
86.48827604367828,3.438920702976259e-18,5217,4.143876651183966,202.7348082488853,1.0026968356049457,53.557446241253125,82.76929997167042,15,-0.011507324195342419,0.011507324195342422,0.0006684485362505331,0.0,0.8467927557446069,1.4216317388732416,17.09562169447207
88.38211213075019,-2.63052142700907e-17,5109,4.1398192833048935,231.2272139097313,1.0017150713596055,53.55557513914003,84.47166972456913,16,-0.011219787307546886,0.01121978730754686,0.0006661370921010758,0.0,0.8253614929423536,1.4206521355088444,18.854683711627423
89.65818883706412,-4.0817643370501096e-17,5038,4.1409692768857855,277.60536128903914,1.0019933361395668,53.53064313201765,85.6181302098361,17,-0.011194383132168868,0.011194383132168827,0.0006654828230506993,0.0,0.8147404796894178,1.420929885285916,19.867085972043284
91.8296369149703,4.8134031846418294e-17,4923,4.134233837719752,276.41711310037266,1.0003635570446077,53.53175499387261,87.55329102707039,18,-0.011338480806792214,0.011338480806792263,0.0006589122605959005,0.0,0.7943773224831376,1.4193020241784307,22.068563989893637
93.1534365513879,5.041090049328235e-17,4855,4.130749317875598,258.2437539629174,0.999520405253316,53.60547028363271,88.7341972029348,19,-0.011528425180774755,0.011528425180774805,0.00066264465546734,0.0,0.7806027686982243,1.4184588234156439,23.117523020605454
95.56413447624736,5.92170756874566e-17,4735,4.123155522384399,293.8308659382969,0.9976829290564598,53.559351867052044,90.84720065576204,20,-0.011344795316299741,0.0113447953162998,0.0006537813306721574,0.0,0.7456130421587114,1.4166187736983908,26.33298308191264
