BNN_DynModelSqLossAfter,MeanKL,Entropy,Expl_StdKL,AverageReturn,Expl_MeanKL,AverageDiscountedReturn,Perplexity,Expl_MinKL,LossAfter,Expl_MaxKL,MaxReturn,NumTrajs,BNN_DynModelSqLossBefore,dLoss,MinReturn,ExplainedVariance,StdReturn,Iteration,AveragePolicyStd
1272.31975932,0.00640924711901,11.3515082656,0.0,-9.6752368065,0.0,-5.70814947756,85093.6986699,0.0,-0.015947784553,0.0,1.0,739,3122.00734414,0.015947784553,-12.0,8.64222360342e-10,1.71124468369,0,1.0
669.792238396,0.00994335490813,11.363207276,289.666169395,-9.73925104022,300.346244457,-5.63217429705,86095.0567642,4.67315697221,-0.0198112099803,1000.0,1.0,721,1266.32474459,0.0198112099803,-12.0,0.478516797029,1.62546448949,1,1.00146509352
355.375269282,0.00651485239126,11.3900023489,213.052709625,-9.64,143.82361188,-5.40390802576,88433.165086,1.11271904949,-0.0161078255832,1000.0,3.0,675,663.520891337,0.0161078255832,-12.0,0.517434724051,1.93046530564,2,1.00483267518
187.955569846,0.00972410826515,11.3975380422,228.694646232,-9.35361842105,96.8218163855,-5.26754785753,89102.0875211,0.378780457307,-0.0195863882782,1000.0,2.0,608,358.814880292,0.0195863882782,-12.0,0.470098509163,2.46253908581,3,1.00578440447
97.9090468975,0.00984223145793,11.4105059693,202.924302059,-9.3843537415,60.6590308161,-5.13983363783,90265.081417,0.0449362278289,-0.0196850873945,1000.0,2.0,588,186.290679471,0.0196850873945,-12.0,0.513714906462,2.42125510491,4,1.00742076947
52.5511615807,0.00995375452609,11.4225600912,125.078758424,-9.46798029557,27.6628954765,-5.10858853438,91359.7319791,0.0100070811553,-0.0195006810081,1000.0,1.0,609,100.037874434,0.0195006810081,-12.0,0.487128088366,2.30713379849,5,1.00894495492
28.7096918059,0.00999952421116,11.435117504,72.8532753362,-9.32240437158,14.6854852911,-4.90259847437,92514.2072842,0.0010926904669,-0.0203833077906,1000.0,1.0,549,52.2779294686,0.0203833077906,-12.0,0.505953027105,2.48710130624,6,1.0105316374
17.3290556041,0.00647016174462,11.4383108688,29.7733641685,-9.41697416974,4.81868943958,-4.84109426295,92810.1111151,2.56462561885e-05,-0.0162441759147,1000.0,2.0,542,28.7763760604,0.0162441759147,-12.0,0.535998659092,2.39146847599,7,1.01093772266
11.9282040367,0.00650973522839,11.4379515276,13.8620338202,-9.04237288136,2.55014069613,-4.53500382389,92776.7666096,4.61865104031e-05,-0.0155708010752,628.076008513,2.0,472,17.5155604629,0.0155708010752,-12.0,0.460594259225,2.98057003932,8,1.01089833669
9.60104723024,0.00645226183101,11.4387175135,5.65607728763,-9.30057803468,0.90830587742,-4.67064088367,92847.8595235,9.59119907655e-05,-0.0151378444889,257.401494114,1.0,519,11.9719254935,0.0151378444889,-12.0,0.468708315524,2.53800014826,9,1.01099782586
8.59997978319,0.00997267507279,11.4356006098,3.48909851906,-9.2303030303,0.666305494558,-4.49808322005,92558.9122307,4.91082768278e-05,-0.0194904541873,101.473277454,2.0,495,9.59272209825,0.0194904541873,-12.0,0.494610049462,2.73685857466,10,1.01059611671
7.61580572958,0.00998054966335,11.4401578854,2.75261544568,-8.96263736264,0.58159184423,-4.43011068676,92981.69134,7.4000676614e-05,-0.0192849996614,71.7664101955,3.0,455,8.30858193929,0.0192849996614,-13.0,0.410890881335,3.1020605825,11,1.01118442138
7.16303679077,0.00644559910075,11.4381815232,2.06792960946,-8.9954954955,0.413748374003,-4.19315287929,92798.1073109,5.14487103959e-05,-0.0160853418326,73.2114099294,2.0,444,7.86251246672,0.0160853418326,-12.0,0.434347343131,3.03507683941,12,1.01093269483
6.70092429602,0.00980931507036,11.4383575185,1.70688804493,-8.95515695067,0.360081156459,-4.25342859637,92814.4407739,0.00012878348948,-0.0194488760025,59.1723427414,2.0,446,7.08945249042,0.0194488760025,-13.0,0.438646651241,3.16266871579,13,1.01095830363
6.43487270075,0.00646609098902,11.4444303892,1.53406407902,-8.68421052632,0.332146366806,-4.05498317237,93379.8058359,0.000259486405018,-0.0157932672563,78.6028981039,1.0,399,6.70896637671,0.0157932672563,-12.0,0.449997370846,3.3777283695,14,1.01174094353
6.02436966016,0.0099665745411,11.4376098502,1.3143717432,-8.23561643836,0.302044746322,-3.69992772222,92745.072296,0.000166640884755,-0.019431766253,39.8088665393,2.0,365,6.47733440918,0.019431766253,-12.0,0.462842700461,3.85054238709,15,1.01089212226
5.74666823589,0.00986646655697,11.4458905259,0.893393454204,-8.64150943396,0.209573869322,-3.70357129589,93516.2527012,0.000208521692123,-0.019189529181,37.5668674306,2.0,371,6.06377723373,0.019189529181,-12.0,0.420115778365,3.51021641569,16,1.01193709027
6.03674096134,0.00646426006752,11.4432195229,0.81359067929,-7.88273615635,0.216436782606,-3.19483063256,93266.8038062,0.000233362440458,-0.0156169357696,23.0895837006,2.0,307,6.27719259136,0.0156169357696,-12.0,0.398320548707,4.10758355683,17,1.01158247562
5.57984058355,0.00641127683175,11.4508147816,5.80850005198,-8.53387533875,0.173725640568,-3.67859808233,93977.8863167,0.000140424225742,-0.0157594519221,1000.0,2.0,369,5.69443708931,0.0157594519221,-12.0,0.379811824787,3.58928945655,18,1.01253743366
59.0981071939,0.00998022333292,11.4443923799,0.486059442014,-8.04424778761,0.147175167105,-3.4867780313,93376.2565977,0.000170530127156,-0.0193483571226,13.083284279,2.0,339,13.3966271644,0.0193483571226,-12.0,0.432105502386,4.01631491496,19,1.01172812646
