AverageReturn,MeanKLBefore,LossAfter,NumTrajs,Perplexity,AverageDiscountedReturn,MinReturn,Entropy,AveragePolicyStd,StdReturn,ExplainedVariance,MeanKL,MaxReturn,LossBefore,Iteration,dLoss
12.399412525534753,0.0,-0.09321366239020476,229,85093.69866986667,6.652344125689229,-303.8273495262619,11.351508265637381,1.0,65.46553314695232,1.4320322705430044e-11,0.2972352420579903,251.0591984310314,9.311395111353524e-17,0,0.09321366239020486
23.646243163697843,0.0,-0.09597359937032056,240,85130.93773445088,11.92505419217964,-180.06777294493892,11.35194579414048,1.0000549352169705,64.60347799540638,0.20100098061797544,0.28443278669481753,280.5525271468556,-1.558010178092719e-16,1,0.0959735993703204
38.02221174145493,0.0,-7.461148848824701e-17,218,85311.82631656095,17.92936857182239,-206.46064133838684,11.354068367674541,1.000320334987601,67.53541444425616,0.18655038334901142,0.0,257.46965695729415,-7.461148848824701e-17,2,0.0
45.22137657294551,0.0,-0.11463048735065345,246,85311.8263165608,20.91160069691931,-95.24375615756946,11.35406836767454,1.000320334987601,64.95693992484314,0.20888328460566274,0.29110428169971253,372.4816389571411,-1.9224943977974774e-16,3,0.11463048735065326
64.58870069532647,0.0,1.1747077455221287e-16,209,85134.3144692221,28.78956701893905,-82.84023085010007,11.351985458543263,1.0000642932039063,69.70511998421559,0.25329862180540863,0.0,271.7619364236976,1.1747077455221287e-16,4,0.0
64.82883997210467,0.0,-0.12010798000800653,203,85134.3144692221,26.995846800299304,-72.56898904804274,11.351985458543263,1.0000642932039063,69.03520737792314,0.2556315198100215,0.28708016888763155,330.4417282230596,-1.211424584043523e-16,5,0.1201079800080064
68.76144006817132,0.0,-0.1194890064873925,242,84577.03700496664,30.130220387559717,-78.26335066438402,11.34541807854913,0.9992445179957338,69.50787313021934,0.26710896249348826,0.2889536266081302,309.79542808886083,3.580448169456044e-17,6,0.11948900648739254
78.7531035678342,0.0,-0.12427471858976277,216,84918.81191129501,29.121001497697407,-158.8295754633031,11.349450925037445,0.9997496887416566,88.01980924495125,0.26472033237977977,0.2836241052299434,456.3502457689729,-9.510743999057304e-17,7,0.12427471858976268
87.899087041174,0.0,-0.11747473968528951,231,84587.93556705599,36.48535004223784,-84.79344222434412,11.345546929834816,0.9992610410559445,85.79166313701107,0.2998899446252573,0.2883173942351818,504.57733054787263,-2.9190607965613017e-16,8,0.11747473968528922
92.85827128784202,0.0,-0.1326572465022002,235,84654.93868043614,36.54167296751767,-73.16893526315128,11.346338728215441,0.9993599514406315,86.10247688433356,0.2756723573341784,0.295105772401189,407.44693493976064,2.0103422757563258e-17,9,0.13265724650220023
111.40441226315399,0.0,-0.12716622026578817,202,85360.11924494218,42.69722806795005,-128.6783016630972,11.354634282939774,1.0003965201236564,97.99616135556255,0.3248100859215749,0.28494830932177934,434.7554935758124,4.516388759158516e-17,10,0.12716622026578822
121.9996998371377,0.0,-0.14000479460612755,180,85930.02914644303,46.45412129117709,-31.663472258356613,11.361288629495423,1.0012314095872703,96.00690067584743,0.3415666003743446,0.29548456134241063,434.85177323246484,-1.1433263096367317e-16,11,0.14000479460612744
127.22654022780227,0.0,-0.14011093341113184,205,87336.56651679397,45.763964871490934,-28.187412931806406,11.377524514574521,1.0033292592026584,108.83814046627451,0.32869606340286794,0.2967686286810856,491.71313980493295,-2.9717838497275957e-16,12,0.14011093341113154
130.27161890909366,0.0,-0.13907828711874098,215,88026.63686032324,50.69519903497079,4.581521267982369,11.385394739253067,1.0043368627098825,98.33482947924514,0.36971635608254194,0.27747945331387497,488.2221853691397,3.465816054803976e-17,13,0.139078287118741
139.41524925013144,0.0,-0.1487046162127517,212,89620.33131055329,54.1692257928648,-5.667772030667372,11.403337485170539,1.006586223034859,106.49063903855375,0.3875560800739293,0.27918204386259593,575.8033823687605,1.336458109021952e-16,14,0.14870461621275183
178.44209918731224,0.0,-0.13755835099600539,172,89499.48325031326,58.07032489555071,-21.920455168082913,11.401988130506762,1.0064159685466314,134.29233099684376,0.3662527491928814,0.2963847394309654,565.9306941504022,-7.962602368180665e-17,15,0.1375583509960053
180.6805647855947,0.0,-0.1350715632194801,173,89437.32386025088,58.4584166124978,-2.555470782148048,11.401293366879687,1.0063301846206065,122.91532980351776,0.39957349319336444,0.2935262761584774,498.5581603247009,4.546283621726056e-17,16,0.13507156321948016
178.22342667509676,0.0,-0.13300867045391748,171,90713.04104466413,57.05925221536118,1.4541209303872475,11.415456407957903,1.0081272087047564,128.64806996509623,0.4331561252031816,0.27604490002400134,566.0222365588669,1.7851843952899354e-16,17,0.13300867045391765
174.61117498036455,0.0,-0.13781853945257877,178,88658.89944445122,56.58322463691836,-24.2908139739216,11.39255169500805,1.0052081547490441,127.19709551235249,0.4030671730221892,0.2896842948186462,672.7626567036499,2.909265205808797e-16,18,0.13781853945257905
183.06711550605013,0.0,-0.14008983891560364,179,87649.7009641292,59.98135623772257,-5.691402983201916,11.381103478639387,1.0037607303487537,127.31256094568681,0.38609539227885514,0.28790858890677895,488.1323386334169,1.5537610911945276e-16,19,0.1400898389156038
207.13310468249279,0.0,-0.1398457941417221,169,86285.82811003774,68.03383941052283,-1.229985392564171,11.365420647016835,1.001773024296552,142.02106460826982,0.43547535491994427,0.2983113560129626,585.0973166690262,1.764308762311117e-17,20,0.13984579414172213
206.03648806396532,0.0,-0.14391895944456382,155,85235.55710724361,63.166551421407675,-3.0630366743082416,11.353173962696047,1.0003041880411678,132.45272762497893,0.441317764581752,0.28701301811041185,563.5868644876347,2.775062329151677e-17,21,0.14391895944456384
