Iteration,MeanKL,MaxReturn,LossBefore,ExplainedVariance,Entropy,LossAfter,StdReturn,NumTrajs,MeanKLBefore,AverageReturn,Perplexity,AverageDiscountedReturn,MinReturn,dLoss
0,0.00855117461682,1.0,-7.24411655972e-16,1.11422757576e-07,1.71997656088,-0.0266812140421,0.389643711899,75,0.0,0.186666666667,5.58439756939,0.137410537294,0.0,0.0266812140421
1,0.00693960732971,1.0,5.85317028904e-17,0.00329310423764,1.71507009166,-0.0278140844944,0.389643711899,75,0.0,0.186666666667,5.55706500261,0.139659663294,0.0,0.0278140844944
2,0.00684533923881,1.0,-3.28167805137e-16,0.0300635384745,1.71780720757,-0.0275411124635,0.453518103674,76,0.0,0.289473684211,5.5722961689,0.212179164316,0.0,0.0275411124635
3,0.00977883539859,1.0,2.16408588269e-17,-0.0222411115451,1.71604029221,-0.0356978308399,0.389643711899,75,0.0,0.186666666667,5.56245908638,0.143037236296,0.0,0.0356978308399
4,0.00799967344992,1.0,5.37885829748e-17,-1.57943451862,1.70610410359,-0.0368564126914,0.498033305643,79,0.0,0.455696202532,5.50746312135,0.339823731601,0.0,0.0368564126914
5,0.00979038023113,1.0,1.00144992856e-16,-0.0584011454594,1.69310934737,-0.0347148397696,0.466476151588,75,0.0,0.32,5.43635797828,0.235385777327,0.0,0.0347148397697
6,0.00656357474914,1.0,-8.65770248561e-18,-0.24015467709,1.68588440755,-0.0295591413579,0.478340345005,79,0.0,0.354430379747,5.39722216619,0.268584220132,0.0,0.0295591413579
7,0.0068600318046,1.0,3.90765598091e-18,-1.33233817686,1.67726385668,-0.0355033097773,0.499404761694,82,0.0,0.524390243902,5.35089510723,0.39645556115,0.0,0.0355033097773
8,0.0066496958675,1.0,-1.04802037639e-16,0.0143917678948,1.67355918697,-0.0295839446987,0.495367966611,81,0.0,0.567901234568,5.3311084823,0.423843705798,0.0,0.0295839446987
9,0.00758144442782,1.0,5.21685027234e-18,-29.9164763306,1.65906848015,-0.185532301631,0.487804878049,82,0.0,0.609756097561,5.25441397312,0.460540386629,0.0,0.185532301631
10,0.0098199363597,1.0,1.31134901874e-16,0.0425255334124,1.66287088744,-0.0416286919164,0.49761477471,82,0.0,0.548780487805,5.27443142827,0.416244426207,0.0,0.0416286919164
11,0.00984695733261,1.0,-1.15209522219e-16,0.0771786206559,1.64787788003,-0.0381450934527,0.444263707965,85,0.0,0.729411764706,5.19594170754,0.559650935359,0.0,0.0381450934527
12,0.00977330393634,1.0,-1.28919863291e-16,0.0795712578411,1.62772609782,-0.0406805276389,0.415739709642,90,0.0,0.777777777778,5.09228219182,0.602405903004,0.0,0.0406805276389
13,0.009710882869,1.0,-2.89774683031e-16,0.0814789709385,1.61441492137,-0.0389012595137,0.439377612027,88,0.0,0.738636363636,5.0249470741,0.573006994886,0.0,0.0389012595137
14,0.00897962619301,1.0,-1.14885408297e-16,0.101187725722,1.61001472503,-0.0417052086192,0.31997229797,95,0.0,0.884210526316,5.00288489491,0.69201677114,0.0,0.0417052086192
15,0.00660730503829,1.0,1.26040655607e-16,0.0176973761757,1.59704962102,-0.0353425998909,0.240893225681,97,0.0,0.938144329897,4.9384406379,0.739276494388,0.0,0.0353425998909
16,0.00930267768181,1.0,7.18840054722e-17,0.0548541803227,1.57584782253,-0.0382080466951,0.272540152793,99,0.0,0.919191919192,4.83483896636,0.73072380627,0.0,0.0382080466951
17,0.00910766456713,1.0,6.07936640097e-17,0.0476853480127,1.55651392338,-0.0429536069529,0.217944947177,100,0.0,0.95,4.7422605124,0.75734537092,0.0,0.0429536069529
18,0.00648645123474,1.0,-3.62226109176e-17,0.13042569705,1.54340420669,-0.0386748676318,0.214912073992,103,0.0,0.95145631068,4.68049655918,0.766670730568,0.0,0.0386748676318
