dLoss,StdReturn,NumTrajs,AveragePolicyStd,LossAfter,Entropy,Iteration,MeanKLBefore,MinReturn,MaxReturn,MeanKL,AverageReturn,AverageDiscountedReturn,Perplexity,ExplainedVariance,LossBefore
0.008129940651029484,41.25010554446719,3611,1.0,-0.008129940651029958,1.418938533204673,0,0.0,53.62694150030822,434.55042068786435,0.0008670717066370949,126.3548358760206,117.83722525498919,4.132731354122494,5.219602527972711e-12,-4.738618186574525e-16
0.014016786977021481,43.3356863128684,3474,0.9991477492108822,-0.01401678697702127,1.41808591904338,1,0.0,53.56972526718931,370.34907246257296,0.0009032845688364692,131.41255328158212,122.18180569683078,4.129209230564729,0.6732069672558323,2.114948550677689e-16
0.013933627359232892,45.94740722885747,3311,0.9979698267426935,-0.0139336273592329,1.4169062963521954,2,0.0,54.02024881746192,389.4377408643413,0.0009118383373869173,138.0109982287921,127.81347814714952,4.124341193447721,0.6650066907420098,-7.670070672894833e-18
0.013405483165073173,50.98113029035052,3155,0.9954139391569543,-0.013405483165073085,1.4143419241223325,3,0.0,53.64898334028935,398.8438170430628,0.0009428035609023517,144.9649530034248,133.598405878177,4.113778396684525,0.632846738330389,8.866021425337994e-17
0.013028107489584965,51.81062976082475,3002,0.992930719178318,-0.013028107489585047,1.4118441466275986,4,0.0,53.806701678798575,443.38847098389203,0.0009711468939148229,152.4837672816826,140.00130517438157,4.103515915619629,0.6427100708692712,-8.216458398343573e-17
0.012029398323759953,58.26675485782086,2815,0.9884943769458696,-0.012029398323759941,1.4073662083454754,5,0.0,53.68771133356957,620.7549930189127,0.0009182585802355085,162.81209090804137,148.46162063541396,4.085181704977977,0.6098990219802827,1.2271937431332448e-17
0.009891787744723705,61.02453241366097,2665,0.983518793912648,-0.009891787744723837,1.4023200010837609,6,0.0,62.77853202162361,559.2384061583842,0.0006581201759000969,172.12365654524743,156.13935802566442,4.064618956971538,0.6078076607225856,-1.3207106209153682e-16
0.00973383858271421,65.39604876468026,2592,0.9795941087239651,-0.009733838582714094,1.3983215653216274,7,0.0,53.87901153640706,543.3889032254589,0.0006702768980922808,176.9851412897139,159.95895739721158,4.048399287437205,0.585311556091056,1.169353961578287e-16
0.009187924951400119,68.84789389473767,2421,0.9746106420945323,-0.009187924951400176,1.3932213040208492,8,0.0,53.705797865250254,552.5810143271041,0.0006894603878759666,189.69735638480134,170.26436180755974,4.027803958645527,0.5823419564739967,-5.792004612730689e-17
0.00910003592222521,69.41686777600337,2355,0.9690362324755474,-0.009100035922225256,1.3874852570298855,9,0.0,53.74534281799197,582.6784489700834,0.0006674474605880419,195.12692265497682,174.6747400250231,4.00476642123243,0.5979595907140336,-4.452586426972497e-17
0.00854447245104529,75.3326873712371,2227,0.9631880587801811,-0.008544472451045337,1.3814319312544174,10,0.0,63.03742621806654,632.6409764481563,0.0006625747959318808,206.4646826681383,183.51738817447185,3.9805974904372308,0.5710212988138317,-4.608983931309986e-17
0.00798183099670299,79.55836002865897,2113,0.95760311578411,-0.00798183099670289,1.3756166622038104,11,0.0,71.86790230653725,704.6132527929416,0.0006724452279544205,217.86377773260307,192.39996682429884,3.9575164214063827,0.5547564877125524,1.0039657945027678e-16
0.007573845877619838,81.50906623116205,2027,0.950841078572214,-0.007573845877619828,1.3685301929951283,12,0.0,63.21955410607534,584.6022252565199,0.0006578457511955034,227.0851118785754,199.56560929996488,3.929570738203036,0.5679650678734166,9.816524223853397e-18
0.007483565526693188,86.06933836973022,1946,0.9440302019414034,-0.007483565526693287,1.3613414134382469,13,0.0,63.04767059994599,774.7683996191188,0.0006612773881074665,236.6832873171478,206.81789271350002,3.901423214801823,0.5494185199047241,-9.859497948986639e-17
0.007080562190248847,91.37085874007902,1853,0.9369134764027899,-0.00708056219024909,1.3537741911116543,14,0.0,53.999009120055135,817.3809920629296,0.0006572517867972918,248.66031597356508,215.75758114113432,3.8720117000297143,0.5332790960269076,-2.4278635257731553e-16
0.006371543217607559,102.62464676717596,1734,0.9289592723646117,-0.006371543217607472,1.345248151778925,15,0.0,63.04588633603833,879.7439974533045,0.0006617408419154505,265.9512414975956,228.1585926391258,3.8391391116040468,0.49371129834538696,8.664787170215648e-17
0.006260038168244373,106.56630793188718,1632,0.9209306896617944,-0.006260038168244364,1.3365680321213491,16,0.0,63.1308428502839,834.7401360192113,0.000662099224787696,282.8800709077428,240.5536939880533,3.8059591361389447,0.5084037211520623,9.825453797498088e-18
0.006064342770362444,115.51758901780646,1550,0.9121813142268691,-0.006064342770362712,1.327022033996172,17,0.0,63.02535384398356,800.9952553534397,0.0006556594374306798,297.7559502424909,250.80456570900114,3.769800317950045,0.48946148721858396,-2.683521855590056e-16
0.0060143025985241755,125.43295777868171,1478,0.9041652589048612,-0.006014302598524184,1.3181954064303467,18,0.0,72.18481156081783,928.9094032108369,0.0006559996804467816,312.45479335726105,260.66207069286423,3.736672114784401,0.46568754356280817,-8.520032366888507e-18
0.005601837684889102,135.16727276321606,1363,0.8968022334687193,-0.0056018376848890545,1.3100186164643601,19,0.0,90.7777370921192,927.4442386855537,0.0006557021975915336,338.7465791982713,278.49298192348425,3.706242708703258,0.45429276203109825,4.7335632388295034e-17
0.005311886892800791,146.12037010437984,1291,0.8891162634813593,-0.005311886892800887,1.3014112612544935,20,0.0,81.11758259350702,933.5379449670498,0.0006517079572751333,357.9457579088872,290.79431602552614,3.6744786595496506,0.45106223571793713,-9.630659321238113e-17
