TrueAverageReturn,NumTrajs,Iteration,Deterministic_TrueReturn,AverageReturn,Entropy,LossAfter,AverageDiscountedReturn,MeanKL,ExplainedVariance,MaxReturn,MeanKL_Before,Perplexity,StdReturn,dLoss,MinReturn
4.53435114504,131,701,6.0,4.53435114504,0.337027027391,-0.00753003505931,1.46679709446,0.00952455793493,0.808620401982,7.0,0.0,1.40077692257,1.3093772771,0.00753003505931,1.0
4.6641221374,131,702,6.0,4.6641221374,0.322145537672,-0.00968856267089,1.43025954382,0.00992823240726,0.734909918466,8.0,0.0,1.38008561579,1.51637719644,0.0096885626709,0.0
4.69402985075,134,703,3.0,4.69402985075,0.331146519496,-0.00910094892053,1.47527456035,0.00999629902865,0.786504400944,8.0,0.0,1.39256381511,1.45698324569,0.00910094892053,1.0
4.67938931298,131,704,5.0,4.67938931298,0.327848433029,-0.00776658757632,1.45037191423,0.0064090675049,0.777413122461,8.0,0.0,1.38797858464,1.34372829617,0.00776658757632,1.0
4.75572519084,131,705,3.0,4.75572519084,0.329566719018,-0.00724952211442,1.46713561213,0.00648178059306,0.775192263795,7.0,0.0,1.39036557897,1.32556543058,0.00724952211442,2.0
4.75572519084,131,706,6.0,4.75572519084,0.331221827359,-0.00818077790762,1.53433489999,0.00985572414042,0.772103271426,8.0,0.0,1.39266869006,1.35967891952,0.00818077790762,2.0
4.73484848485,132,707,6.0,4.73484848485,0.329964056623,-0.00754260610634,1.46231946978,0.0065695831056,0.740305590202,8.0,0.0,1.39091813327,1.50181631692,0.00754260610634,0.0
4.81343283582,134,708,7.0,4.81343283582,0.322694494553,-0.00865257529916,1.49725875625,0.00991603398224,0.757628410152,8.0,0.0,1.38084343127,1.47196645022,0.00865257529916,1.0
4.92366412214,131,709,5.0,4.92366412214,0.321153740702,-0.0073915364786,1.53909193756,0.00644035093155,0.781529338135,8.0,0.0,1.3787175296,1.43361136158,0.0073915364786,1.0
4.86259541985,131,710,2.0,4.86259541985,0.324669395547,-0.00729416663375,1.49614486408,0.00652353501157,0.785541608267,8.0,0.0,1.38357315491,1.42369993611,0.00729416663375,0.0
4.82442748092,131,711,5.0,4.82442748092,0.322190356767,-0.00722995907412,1.57147778592,0.00652602959885,0.783222989564,8.0,0.0,1.38014747136,1.33354212378,0.00722995907412,2.0
4.69172932331,133,712,5.0,4.69172932331,0.319207283947,-0.00844996244142,1.41053748927,0.00959259984579,0.746340737941,8.0,0.0,1.37603652563,1.39375865015,0.00844996244142,1.0
4.68939393939,132,713,4.0,4.68939393939,0.312307653716,-0.00757593316194,1.46497852913,0.00650727860201,0.762241661005,8.0,0.0,1.36657506026,1.31502146403,0.00757593316194,2.0
4.51908396947,131,714,5.0,4.51908396947,0.315993524664,-0.00754236390547,1.42117317409,0.00641246643346,0.720571786259,8.0,0.0,1.37162137389,1.38338640282,0.00754236390547,1.0
4.83969465649,131,715,3.0,4.83969465649,0.315971666611,-0.00870729694373,1.51424903814,0.00980697187887,0.754899570037,8.0,0.0,1.37159139324,1.46102961652,0.00870729694373,2.0
4.6641221374,131,716,4.0,4.6641221374,0.321506294938,-0.00802441391419,1.47291440354,0.00999324238203,0.75840308331,8.0,0.0,1.379203688,1.53140501782,0.00802441391419,1.0
5.06015037594,133,717,6.0,5.06015037594,0.313725411343,-0.00727974772965,1.52744485493,0.00641612662322,0.742606142178,8.0,0.0,1.36851390655,1.25512122948,0.00727974772965,1.0
4.67424242424,132,718,6.0,4.67424242424,0.324843297405,-0.00810439438772,1.4925922433,0.00993518364036,0.783598309109,7.0,0.0,1.38381378178,1.37893355874,0.00810439438772,1.0
4.76335877863,131,719,4.0,4.76335877863,0.326074871954,-0.00883218414416,1.55441252497,0.00992145995322,0.793685439653,8.0,0.0,1.38551910151,1.42406825609,0.00883218414416,2.0
4.64885496183,131,720,5.0,4.64885496183,0.321478984427,-0.00715591294206,1.44176551466,0.00642014905793,0.734315980916,7.0,0.0,1.37916602176,1.44054519006,0.00715591294206,0.0
4.71212121212,132,721,7.0,4.71212121212,0.320244389743,-0.00841274818297,1.39569606279,0.00991132866318,0.727910573105,8.0,0.0,1.37746436136,1.53509600445,0.00841274818297,1.0
4.94696969697,132,722,5.0,4.94696969697,0.320128415491,-0.00947656268145,1.48847847239,0.00995372018691,0.760091652442,8.0,0.0,1.37730462023,1.37242537987,0.00947656268145,2.0
4.78625954198,131,723,6.0,4.78625954198,0.329808198366,-0.00713338200512,1.51980391916,0.00648906527303,0.781645733369,8.0,0.0,1.39070136409,1.43568284994,0.00713338200512,2.0
4.69465648855,131,724,5.0,4.69465648855,0.326537829438,-0.00873768437222,1.42400698673,0.00978248049102,0.77105878999,7.0,0.0,1.38616068645,1.20364034198,0.00873768437222,2.0
4.87786259542,131,725,6.0,4.87786259542,0.312245073957,-0.00981652167325,1.50889438657,0.00987964862022,0.743823294719,8.0,0.0,1.366489543,1.31359829083,0.00981652167325,2.0
4.58646616541,133,726,7.0,4.58646616541,0.327315306019,-0.00894726429086,1.47514355502,0.00979913398584,0.749798606502,8.0,0.0,1.38723881298,1.39886000605,0.00894726429086,1.0
4.79545454545,132,727,4.0,4.79545454545,0.315536492819,-0.00689672166467,1.46488093255,0.0064797406493,0.767585868773,8.0,0.0,1.37099464247,1.40744038231,0.00689672166467,2.0
4.77099236641,131,728,7.0,4.77099236641,0.321931039081,-0.0088426534569,1.48571905261,0.00971367430991,0.789099630736,8.0,0.0,1.37978962112,1.33402270313,0.0088426534569,1.0
