MinReturn,Entropy,dLoss,LossBefore,StdReturn,Perplexity,MeanKL,ExplainedVariance,AverageDiscountedReturn,LossAfter,AverageReturn,MeanKLBefore,MaxReturn,NumTrajs,Iteration,AveragePolicyStd
-12.0,11.351508265637381,0.08519123120848297,-5.463158077055691e-15,3.598356277015353,85093.69866986667,0.4506997508973152,1.0082211732154178e-09,-2.777693606905976,-0.08519123120848844,-8.448818897637794,0.0,1.0,254,0,1.0
-12.0,11.363176266859638,0.0,-1.0255585349774827e-16,3.789335026996961,86092.38706839872,0.0,0.16809518368319665,-2.5770224517711795,-1.0255585349774827e-16,-8.348017621145374,0.0,3.0,227,1,1.001460954307603
-12.0,11.363176266859638,0.10851030498023692,3.319976184268619e-16,4.008043549608084,86092.38706839872,0.470074116797394,0.19382968963543967,-2.674188147419452,-0.10851030498023659,-7.9411764705882355,0.0,2.0,221,2,1.001460954307603
-12.0,11.38327016111315,0.12181073840072662,9.278994775930877e-17,4.798674291443284,87839.81592003553,0.4781977094957278,0.10846872537301899,-1.7498845347655614,-0.12181073840072652,-6.6982248520710055,0.0,1.0,169,3,1.0039907866437283
-12.0,11.354627814515167,0.1310255836200276,1.4755472613637608e-17,4.989813307705882,85359.56710123218,0.43699289958875,0.019531411374239083,-1.4625271879442288,-0.13102558362002759,-5.183673469387755,0.0,2.0,147,4,1.0004228715582588
-11.0,11.383650680322889,0.11731227454842531,-2.4098469553619193e-16,4.929757180533631,87873.24701755698,0.45360563365100504,0.04287703183359415,-0.7937080141441512,-0.11731227454842555,-4.232558139534884,0.0,2.0,129,5,1.0041674537345318
-11.0,11.386166840904954,0.1239985031145821,-1.326055730236625e-16,4.898622632970473,88094.6286169492,0.42706198807379814,0.05651812577514159,-0.8731911757525485,-0.12399850311458224,-4.656488549618321,0.0,2.0,131,6,1.0044550980225964
-12.0,11.343114051824376,0.12394019846203937,1.8067174180819003e-16,5.052271870248284,84382.39356935138,0.4380056646489986,0.07419144765725771,-0.6917703672325112,-0.12394019846203919,-4.488188976377953,0.0,2.0,127,7,0.9990618578922668
-11.0,11.38199954036179,0.13820324062313194,-2.249491430243557e-16,4.998304626810701,87728.2757047944,0.4536130538835313,0.08420425819666844,-1.106930428598751,-0.13820324062313216,-5.099290780141844,0.0,2.0,141,8,1.0039433256234316
-12.0,11.384647452002513,0.12943228062558718,-1.3458260079560765e-16,4.942479061450866,87960.88024948687,0.4914658684293318,-0.023405964955340197,-0.9027611737193987,-0.12943228062558731,-4.410852713178294,0.0,2.0,129,9,1.0042775600156515
