AverageReturn,MaxReturn,MinReturn,PolicyRegParamNorm,AverageQLoss,QFunRegParamNorm,StdEsReturn,Epoch,MinEsReturn,AverageDiscountedReturn,MaxEsReturn,AverageEsReturn,AverageAction,AverageQ,AverageAbsQYDiff,AverageAbsQ,AveragePolicySurr,AverageY,AverageAbsY,StdReturn
-136.34058296884962,-131.14818602194714,-176.40845861999946,29.347178145748707,0.0010764691708568049,36.89535145460281,85.19382494986175,1,-269.7709006625162,-27.48921127786779,105.80484383862783,-63.895341191471545,0.7846012949030247,0.01444262166888805,0.022670890978806216,0.12639310327358613,-0.03096622274155811,0.014472714206816213,0.12870713791718955,9.306247120509044
-50.89497018597292,0.6317159076508913,-92.9549923259496,30.343178192274824,0.0036185458738156656,43.64364940022584,42.60575163520212,2,-111.06826331977648,-3.7975153573268847,97.71879319523876,-13.375689493414896,0.9328787173238081,0.14340187035885052,0.04190867480442655,0.3162547783542024,-0.17063063400756928,0.14340085394000388,0.3194434584865792,23.93326256267831
-112.64773641702588,-88.65782581581969,-130.33937796672348,31.329651144101515,0.006134047244754515,48.907132291717986,49.540711950398865,3,-113.25611889589622,-15.067873024241965,55.22146260406322,-38.045850381176955,0.9277454188963324,0.28323180656691277,0.05509330257091883,0.46343052108430266,-0.30441891683964595,0.28318790150398293,0.46719215987631085,10.883179120063067
-79.95646550539115,-61.20069593798744,-106.56359243822185,32.478513009690886,0.009657254071944963,53.4708256869998,71.19490549102201,4,-174.72874761728784,0.07305518162180716,85.55137270198844,-52.82516755437263,0.9868975736107339,0.34126367076891245,0.0674692514256528,0.5887285785946157,-0.3668553611515694,0.34125670147901127,0.5928993743549958,11.671233251065555
-46.86215302448928,30.38042362516337,-101.92201850417273,33.73321016860863,0.01696612277943275,57.76724898358045,47.73392001003234,5,-112.23728788546985,17.595685824360462,66.0378380997694,-11.009285333239166,0.9737638193312366,0.6657954674965667,0.0887397647313214,0.8690998169832277,-0.723887476434141,0.6661231424559131,0.8738863041522487,30.555585438126162
-13.144946679630255,21.67153063252043,-36.36511424714911,34.83911280288222,0.02399081185982461,61.621793082977064,39.34618912052157,6,-80.25832118431994,27.900440019436758,54.33954734430962,-5.138183756989422,0.9293432119688145,1.190180959883927,0.1054264926978494,1.2917033048188549,-1.2542709878291394,1.1907524723391198,1.2954366917795426,13.290132760036066
-10.754066953086703,39.45998715052918,-127.53581718158203,35.952983884143684,0.028875034275962583,65.1535433684769,39.573191641165394,7,-43.54965335746062,19.76969020196767,111.36525276567896,44.87161929106852,0.9312584888206068,1.6885497275887722,0.11375014654679194,1.7330548911699768,-1.7562545353593348,1.6892721154817678,1.7359824010782454,32.20600360773974
-76.623457792205,-17.60257618860007,-118.92103505160031,36.8266872020372,0.03202671639771654,68.52222341890334,66.09575415033147,8,-76.09351614090558,3.4661962846518284,223.1270608957371,30.892162629721895,0.9676719948790735,2.23266094955081,0.11746715006202332,2.2480964664715612,-2.3131729638346363,2.2334789334821887,2.2498391742118873,28.53380806766194
31.59560452581755,173.45450919409055,-24.867711641102137,37.62651722998336,0.038094871568298376,71.7628156899102,57.27769120768288,9,-139.89537931562782,37.82136258387128,102.76766274769398,-27.117374796567333,0.953304963325419,2.7680295579155745,0.12470193337715982,2.7725552812192578,-2.8459951125482554,2.7689621787425205,2.7738240705401953,59.5054552191028
-59.47632824853944,-48.569895558344975,-71.95932846946268,38.410413709917734,0.04889136241090793,74.71726022591743,51.9752970552816,10,-22.49232590469574,13.663006288043823,188.99658681262457,72.85697816038287,0.8901173538259475,3.1882323518757887,0.13113348393801832,3.189621747010278,-3.2655364241171365,3.188999196849667,3.190484192763806,6.155846667787203
79.72697794882399,120.76293234125534,-59.37122578401918,39.12594950018787,0.05861078753456463,77.4847325099527,37.11532217172087,11,-47.843868563992075,38.69488974238566,77.89013924196998,18.519053019239074,0.8972043212553935,3.5352568554639596,0.13439476848557871,3.5357136117927768,-3.598022178086877,3.5357071729721143,3.536204643997884,36.39220731799965
47.97752425244846,94.88633823472738,6.751718178411469,39.85251575092711,0.059263012627015624,80.04145623644094,46.027381544407646,12,-5.912355594773524,45.39358220129913,165.17573066016996,65.56954186466307,0.9019527916782817,3.7356716182610405,0.13359123901711825,3.7357283897124804,-3.791622490511357,3.7360587968580448,3.7361252517942436,25.51022813601564
6.214931526404009,24.980619409686497,-8.313449561796036,40.432606033958294,0.06214715317025175,82.34594038079847,49.452190057694324,13,-129.8271645639244,35.30711195742993,106.33318138098257,38.29546703129576,0.8831791328162195,3.9621917535243703,0.13396469949523754,3.962193175972027,-4.020672106954064,3.962583238175778,3.962588856774546,9.074508947274378
86.96607604750083,163.28632653536238,20.32278339188056,40.991054976824444,0.06381105370606496,84.63251049116023,47.51214823698147,14,-18.000795702432196,34.74707318530003,153.33371251807284,43.61215576468048,0.9268330770472516,4.1013808285890585,0.13366853604406442,4.101380965507932,-4.155429754292784,4.10180329557567,4.10180329557567,34.103464091088554
159.33569755126922,222.32396040558706,100.5997755054444,41.66096216391031,0.07638606306562491,86.87616068961161,44.81613850834103,15,-14.87328276915061,67.71955727763479,135.245187026291,72.18116564739327,0.938761304302804,4.225446509608224,0.137841957911297,4.225446509608224,-4.278342873724209,4.225991533901085,4.225991533901085,35.72019364124218
56.110140591471236,240.1475091842312,-42.66837908856304,42.23450310410807,0.08691112317841578,89.11599155687351,59.398049435102784,16,-1.3893119500088746,32.08053015882835,249.54128013706494,108.33348116730414,0.9017451851323812,4.318381727269404,0.13969614421920445,4.318384043576191,-4.36888779201681,4.318746451239142,4.318746451239142,65.80941665122715
