BonusRewardAverage,BonusRewardMin,PathLenMin,RawReturnMin,ReturnMax,NumTrajs,Median Bonus,NumSamples,ReturnMin,PathLenMax,ReturnAverage,BonusRewardMax,AverageDiscountedReturn,ExplainedVariance,Perplexity,RawReturnAverage,Iteration,Mean Discrim,Entropy,RawReturnMax,ElapsedTime,PathLenAverage
0.0,0.0,20,-12.0,2.0,374,0.0,51385,-12.0,500,-9.216577540106952,0.0,-3.987461655446252,8.802072404279215e-10,21783986.859485883,-9.216577540106952,0,1.0,16.896685710116945,2.0,178.80060482025146,137.39304812834226
-0.030883685225999227,-1.2852143124442004,22,-12.0,2.004346677892605,318,0.13931532954427986,51660,-12.001762165192515,500,-8.830690393452445,1.1980878253736873,-3.622688349013371,8.991311029049598e-10,21609744.19966572,-8.830188679245284,1,0.04404593221344485,16.888654891285093,2.0,366.28290915489197,162.45283018867926
3.1333609960078715e-05,-0.04959209661244648,16,-12.0,1.000072889954995,256,0.003738817469828689,51837,-12.000034856884994,500,-8.605468115531117,0.06250704218314532,-2.767913006440924,1.0323280008606162e-09,21560774.5108535,-8.60546875,2,0.9963744906133827,16.88638622686881,1.0,864.4479608535767,202.48828125
7.793261209532459e-05,-0.03697197382758376,18,-12.0,1.9999984273942697,218,-0.0005260544765312376,51949,-12.00001605908045,500,-7.871557775907677,0.04797027037355319,-2.4215958789859333,1.1217612394531784e-09,21663198.7331236,-7.871559633027523,3,1.0003903756871202,16.89112546790986,2.0,1111.779027223587,238.2981651376147
1.0829440031582642e-06,-0.02723881733511185,22,-12.0,2.000092631669046,220,-0.002157264086723485,52194,-12.0000071327526,500,-8.081818156125827,0.03259565381534558,-2.282045965364916,1.1046948911186405e-09,21724044.733274784,-8.081818181818182,4,1.0022132480741943,16.89393025729857,2.0,1366.3601446151733,237.24545454545455
4.984306128334073e-06,-0.020732268595997524,21,-12.0,2.99996595067484,217,0.0017906129428264111,52190,-12.000023665986962,500,-7.6912441197553285,0.023136913635322668,-2.3522095774212026,1.1169237756902817e-09,20974360.36441249,-7.691244239631336,5,0.9982955960289498,16.858811314711318,3.0,1608.680692911148,240.50691244239633
9.146555832326827e-05,-0.016629495598850404,20,-12.0,2.0000312133705793,175,0.0034460342225963165,51145,-12.000010142184145,500,-6.862854469710867,0.021048491888933603,-1.6609293084989525,1.3426358913548597e-09,22046247.822947014,-6.862857142857143,6,0.9965552439853302,16.90865297861735,2.0,1851.7800648212433,292.25714285714287
0.0001415236411423831,-0.013613274177635144,25,-12.0,2.000033687233497,185,0.000588782573154475,52121,-12.000002891090013,500,-6.821617634403406,0.015466689790976497,-1.8594198448930253,1.297834173463741e-09,21933287.81061607,-6.821621621621621,7,0.9991691317819962,16.903516032121455,2.0,2089.754136800766,281.7351351351351
0.0001641076878608439,-0.015354504613817956,44,-12.0,2.0000236413933017,156,0.0023226505360794455,52647,-12.000029820578542,500,-5.756404718091383,0.016699995413122712,-1.1220727555497014,1.6150880632892495e-09,21067226.92329238,-5.756410256410256,8,0.9973579721070139,16.86322916455543,2.0,2329.8973228931427,337.4807692307692
0.000281514535795924,-0.015237979034498764,26,-12.0,2.0001636367562416,168,-0.00046128418608689005,52147,-12.00000313059254,500,-6.369038880869942,0.019368110879124704,-1.400933319779126,1.4258452196713733e-09,19575107.313338198,-6.369047619047619,9,1.0004014047051895,16.789769281988985,2.0,2566.0895178318024,310.3988095238095
0.0003595671376149634,-0.018611113519334845,24,-12.0,2.00014724008151,155,0.0010506139527725496,51667,-11.99999750115927,500,-6.032246078867548,0.018624992945099565,-1.26718500626209,1.577247554784833e-09,18522506.737724375,-6.032258064516129,10,0.99870087834684,16.73449713103179,2.0,2801.631894826889,333.3354838709677
0.00031876190143842383,-0.014439777955503594,29,-12.0,3.000014127210381,152,0.001452799666032258,52289,-11.999837114346592,500,-5.598673244907195,0.017887730387493122,-1.2262953204228675,1.7034713639674237e-09,18379646.04409099,-5.598684210526316,11,0.9981146847002071,16.726754417039952,3.0,3037.9117488861084,344.00657894736844
0.0002996562210361533,-0.018545190521320698,26,-11.0,2.00015613755713,152,0.0015159292385074838,52291,-11.000099789110564,500,-5.74998969123457,0.023279427189053223,-1.2675859660609412,1.6889510900952587e-09,17814485.290581003,-5.75,12,0.9982539888527227,16.695522464692317,2.0,3274.4151227474213,344.01973684210526
0.00044319954021014834,-0.018122467787055604,28,-12.0,1.9998915862629314,156,0.002404573737715824,51781,-11.999856859491578,500,-5.839728878643979,0.02115825321241338,-1.3703706121987125,1.6358171484043282e-09,17340242.934331197,-5.839743589743589,13,0.9972989469145268,16.668540539272232,2.0,3510.6110277175903,331.9294871794872
0.00024025847362737845,-0.018980735846421445,28,-11.0,2.000015691952978,141,0.0036241236985213336,52044,-11.000058366005856,500,-4.936161344672341,0.023060042606463993,-0.9549912455842383,1.941278471306873e-09,15859614.79112877,-4.9361702127659575,14,0.9964303707901362,16.579286485800907,2.0,3745.725061416626,369.1063829787234
0.0002554520661808721,-0.020425255775427868,43,-11.0,1.9999988401643687,132,0.002992566513071928,52366,-11.000108491165005,500,-4.371201987119018,0.02209413015864327,-0.6975802437784983,2.2220224549229783e-09,15660878.12848308,-4.371212121212121,15,0.9965818585068422,16.566676321570586,2.0,3979.325168609619,396.7121212121212
