Iteration,MaxReturn,MinReturn,MeanKL,ExplainedVariance,Perplexity,Deterministic_TrueReturn,AverageReturn,LossAfter,AverageDiscountedReturn,Entropy,TrueAverageReturn,dLoss,MeanKL_Before,StdReturn,NumTrajs
0,2.0,-3.0,0.00925888373382,1.43310388556e-07,5.32708673442,2.0,-0.0984848484848,-0.00804017922679,-0.0730974930952,1.67280450984,-0.0984848484848,0.0080401792268,0.0,1.03616314736,132
1,2.0,-2.0,0.00707436527337,0.301104829616,5.40042858053,-1.0,-0.030303030303,-0.00824862769911,-0.029357389839,1.68647831718,-0.030303030303,0.00824862769911,0.0,0.96874953716,132
2,2.0,-2.0,0.00832070381141,0.374566399765,5.43798205908,0.0,-0.0451127819549,-0.00886513910805,-0.00632538739833,1.69340804703,-0.0451127819549,0.00886513910805,0.0,0.932815784618,133
3,2.0,-2.0,0.00695327362918,0.281226286284,5.41750857871,1.0,-0.0530303030303,-0.00848592391157,-0.00322236661417,1.68963603795,-0.0530303030303,0.00848592391157,0.0,0.837695196062,132
4,2.0,-2.0,0.00668414985771,0.257760606651,5.37758701225,1.0,0.0687022900763,-0.00850042480926,0.0304147172543,1.68223976283,0.0687022900763,0.00850042480926,0.0,1.00525975295,131
5,2.0,-2.0,0.00760640218401,0.304403767314,5.36297939745,1.0,0.106870229008,-0.00912143892427,0.053398054091,1.67951967838,0.106870229008,0.00912143892427,0.0,0.867143317323,131
6,2.0,-3.0,0.00661287669149,0.379377105087,5.34985511975,1.0,0.312977099237,-0.00789779514382,0.175360747043,1.67706948012,0.312977099237,0.00789779514382,0.0,0.925334430698,131
7,2.0,-2.0,0.00671972188484,0.175911956045,5.28104579085,0.0,0.189393939394,-0.00750144958673,0.119093349088,1.66412414455,0.189393939394,0.00750144958673,0.0,0.871541439735,132
8,3.0,-2.0,0.00668848115651,0.318134547689,5.19211666888,0.0,0.36641221374,-0.00850375615668,0.218819953382,1.64714145004,0.36641221374,0.00850375615668,0.0,0.950741830653,131
9,2.0,-2.0,0.00643597399708,0.279071284014,5.22104648287,0.0,0.386363636364,-0.00804966683951,0.241889476846,1.65269785745,0.386363636364,0.00804966683951,0.0,0.942656845504,132
10,2.0,-2.0,0.00703270174791,0.163170763075,5.18482533692,0.0,0.166666666667,-0.00751795921692,0.131734347021,1.64573615489,0.166666666667,0.00751795921692,0.0,0.880484256107,132
11,2.0,-2.0,0.00657164763484,0.243773356012,5.09097258675,0.0,0.484848484848,-0.00776027126579,0.234748785516,1.62746889026,0.484848484848,0.00776027126579,0.0,0.820982859645,132
12,2.0,-2.0,0.00679264034108,0.235642085844,4.97535349642,2.0,0.333333333333,-0.00718013843058,0.224303079155,1.60449642264,0.333333333333,0.00718013843058,0.0,0.822658906697,132
13,3.0,-2.0,0.0064335377497,0.229551274162,4.96638842818,0.0,0.522727272727,-0.00727539691308,0.290223077497,1.60269290154,0.522727272727,0.00727539691308,0.0,0.839064315544,132
14,3.0,-2.0,0.00982318900405,0.16291984789,4.88267299878,1.0,0.507575757576,-0.00874764096786,0.192085361468,1.58569281556,0.507575757576,0.00874764096786,0.0,0.821087712817,132
15,2.0,-1.0,0.00964133580653,0.257029019826,4.82911859357,1.0,0.606060606061,-0.00802005265904,0.279200986972,1.57466396521,0.606060606061,0.00802005265904,0.0,0.87695734112,132
