Entropy,MinReturn,Perplexity,MeanKL_Before,Iteration,TrueAverageReturn,NumTrajs,Deterministic_TrueReturn,ExplainedVariance,MeanKL,StdReturn,dLoss,AverageReturn,MaxReturn,LossAfter,AverageDiscountedReturn
1.58226782287,-15.0,4.86597848506,0.0,0,-9.85222672065,494,-12.0,1.07915965053e-09,0.00687527204125,1.53251701525,0.0101656569796,-9.85222672065,3.0,-0.0101656569796,-4.32022955358
1.58379148854,-14.0,4.87339826063,0.0,1,-9.82997762864,447,-7.0,0.0651221938486,0.00651274921261,1.9008289136,0.0101099813354,-9.82997762864,2.0,-0.0101099813354,-4.16266567367
1.58479328383,-15.0,4.87828285431,0.0,2,-9.88329979879,497,-10.0,0.0486398792518,0.00641438399631,1.59679721465,0.0107871831131,-9.88329979879,2.0,-0.0107871831131,-4.3365151175
1.59173122762,-16.0,4.9122457868,0.0,3,-9.98353909465,486,-9.0,0.0423928921221,0.00678328468891,1.71645888276,0.0103055743323,-9.98353909465,3.0,-0.0103055743323,-4.2998994394
1.59619096394,-14.0,4.93420203087,0.0,4,-9.80717488789,446,-11.0,0.0715705328076,0.00668548331938,1.96346508952,0.010109127752,-9.80717488789,3.0,-0.010109127752,-4.14201554662
1.5933279763,-14.0,4.92009567424,0.0,5,-9.89293361884,467,-11.0,0.0313106151574,0.00654017755917,1.60742834032,0.0106416253539,-9.89293361884,0.0,-0.0106416253539,-4.12728509257
1.59178445361,-14.0,4.9125072529,0.0,6,-9.83050847458,472,-8.0,0.0543443855912,0.00992220437775,1.70022473463,0.0131245074848,-9.83050847458,3.0,-0.0131245074848,-4.2128729933
1.59659301952,-15.0,4.93618625322,0.0,7,-9.73165137615,436,-14.0,0.0764546140788,0.00669401274177,1.86321415777,0.0108309073052,-9.73165137615,3.0,-0.0108309073052,-4.02044312452
1.5976793375,-14.0,4.94155143469,0.0,8,-9.73258426966,445,-11.0,0.092576997008,0.00983652904594,2.15634810311,0.0125614851439,-9.73258426966,3.0,-0.0125614851439,-4.28396801155
1.59910193025,-14.0,4.94858625259,0.0,9,-9.86416861827,427,-7.0,0.0333452482393,0.00989222945375,1.86557735716,0.0123491174905,-9.86416861827,4.0,-0.0123491174905,-4.23503466442
1.5992438617,-15.0,4.94928866244,0.0,10,-9.80720338983,472,-9.0,0.101465978335,0.00641438601914,2.01343764791,0.0103998783416,-9.80720338983,2.0,-0.0103998783416,-4.21551208423
1.59777937787,-14.0,4.94204581406,0.0,11,-9.96412556054,446,-8.0,0.0584129040997,0.00962453601838,1.89608163871,0.0122646125027,-9.96412556054,1.0,-0.0122646125027,-4.11955059406
1.6021829349,-14.0,4.96385638145,0.0,12,-9.80335731415,417,-10.0,0.0660622170858,0.0066511826547,1.89526438729,0.0109534852362,-9.80335731415,4.0,-0.0109534852362,-3.91557892536
1.6009960624,-14.0,4.9579684116,0.0,13,-9.62703962704,429,-10.0,0.0768150393808,0.00956618799891,2.24092385436,0.012866251759,-9.62703962704,3.0,-0.012866251759,-4.05427768059
1.60490916377,-14.0,4.97740745329,0.0,14,-9.95302013423,447,-8.0,0.0238611725118,0.00974595235598,1.52533666861,0.012936697811,-9.95302013423,1.0,-0.012936697811,-4.06495102943
1.59976277083,-14.0,4.95185755996,0.0,15,-9.8064516129,434,-9.0,0.033515995635,0.00988011073664,2.11737487211,0.0129038260458,-9.8064516129,2.0,-0.0129038260458,-4.06843528269
1.59802236708,-14.0,4.94324682378,0.0,16,-9.80044843049,446,-11.0,0.0710966800302,0.00644173786066,1.94269928615,0.0110029632057,-9.80044843049,6.0,-0.0110029632057,-4.09079962515
1.59697550034,-15.0,4.93807461085,0.0,17,-9.82391304348,460,-10.0,0.0427454368091,0.00648469280669,1.76852736363,0.0106559754509,-9.82391304348,1.0,-0.0106559754509,-4.21101890398
1.58915385738,-14.0,4.89960141228,0.0,18,-9.65925925926,405,-9.0,0.0943092996113,0.00949373220374,2.24377205428,0.0136830977882,-9.65925925926,4.0,-0.0136830977882,-3.85812666178
1.58578311214,-14.0,4.88311390735,0.0,19,-9.77149321267,442,-14.0,0.0643800363462,0.00659232888631,1.96687547338,0.0118849703382,-9.77149321267,3.0,-0.0118849703382,-4.09547444886
1.58191723153,-13.0,4.86427281415,0.0,20,-9.69544364508,417,-9.0,0.0700289951238,0.00982976842247,1.95164650584,0.0127933408357,-9.69544364508,2.0,-0.0127933408357,-3.76631111803
1.57668173108,-14.0,4.83887246145,0.0,21,-9.64302600473,423,-10.0,0.086670256615,0.00647203004469,2.17067110948,0.011047851334,-9.64302600473,2.0,-0.011047851334,-3.94443920315
1.57308115736,-14.0,4.82148107274,0.0,22,-9.67040358744,446,-11.0,0.0574957637453,0.00646058227796,2.06321037629,0.0104233153193,-9.67040358744,3.0,-0.0104233153193,-4.08514661361
1.57004945648,-15.0,4.80688591955,0.0,23,-9.5686746988,415,-12.0,0.0648834464397,0.00652427570186,2.14070857039,0.0110174860483,-9.5686746988,5.0,-0.0110174860483,-3.6961709371
1.56180197932,-13.0,4.76740427352,0.0,24,-9.85294117647,408,-10.0,0.0510466065539,0.00965916569403,2.03714072412,0.0135896349885,-9.85294117647,2.0,-0.0135896349885,-3.89785891355
1.5631776164,-15.0,4.77396700452,0.0,25,-9.64411027569,399,-8.0,0.066660825008,0.00999777636512,2.28948980272,0.0130792302025,-9.64411027569,2.0,-0.0130792302025,-3.74812292494
