dLoss,AveragePolicyStd,StdReturn,MinReturn,MaxReturn,MeanKLBefore,Entropy,Iteration,LossBefore,AverageReturn,NumTrajs,LossAfter,AverageDiscountedReturn,Perplexity,ExplainedVariance,MeanKL
0.03520608032202126,1.0,76.92989425384535,-415.601463547823,74.26490496479515,0.0,8.513631199228033,0,-3.269828852126011e-17,-156.75194212719353,100,-0.03520608032202129,-27.55213251832327,4982.221720901863,2.4161117551102507e-11,0.04687368619041653
0.034382031055853794,0.9967973106898166,103.95017335322748,-470.41850530730665,130.91224643953424,0.0,8.494310121143908,1,1.2673195826096161e-16,-105.30892481714429,100,-0.03438203105585367,-21.90833528057023,4886.883807452341,0.4539205503845747,0.04558662266686985
0.0,0.9929420127961895,85.59931543784883,-273.81066608818986,124.5315426015376,0.0,8.47097487738894,2,-1.5746293158258594e-16,-59.853632546837936,100,-1.5746293158258594e-16,-15.517086952259255,4774.167429455946,0.2768711737771684,0.0
0.0,0.9929420127961895,88.80492557699198,-246.84747073006892,155.94817964375318,0.0,8.47097487738894,3,-2.0378365661599674e-16,-36.6105115445224,100,-2.0378365661599674e-16,-11.548780540546227,4774.167429455946,0.2866704728589987,0.0
0.03572491691604332,0.9929420127961895,90.62172900540529,-277.0913975281151,158.4132497953817,0.0,8.47097487738894,4,-2.6463831126477543e-17,-57.43118623091431,100,-0.03572491691604335,-12.92585204938075,4774.167429455946,0.3893160279353639,0.04758325987743044
0.03601450376962012,0.9926139717894975,85.67409064021746,-321.01871762294263,231.6546032284774,0.0,8.468934832055439,5,8.90687523735778e-17,-7.604381735801661,100,-0.03601450376962003,-6.170156983452448,4764.437839247053,0.37905526688053937,0.049881328758851706
0.037259014471575314,0.9885602106138371,93.20608653209956,-297.86506093908764,256.3568297108591,0.0,8.444523623313987,6,-2.2434942792415315e-16,58.177527487390506,100,-0.037259014471575536,-0.21348638505739434,4649.540252735713,0.3825022646968126,0.04772058458883419
0.0358470855174141,0.9877734643245839,98.73294494984867,-130.42892648083355,309.90488730357356,0.0,8.439742335785965,7,-6.449729639257385e-17,70.32665511647774,100,-0.03584708551741416,2.978124555478331,4627.362525210147,0.07321226303403139,0.0498838129498373
0.0,0.9878321534375043,104.16914014858042,-203.9874233714204,313.9383032994031,0.0,8.440099197418787,8,1.0860402854806495e-16,91.75186364439651,100,1.0860402854806495e-16,5.703018021201074,4629.014148039435,0.40858264517459286,0.0
0.0,0.9878321534375043,106.23211922568218,-124.32868224153006,387.8297712168081,0.0,8.440099197418787,9,5.05975261688718e-16,95.29982821421656,100,5.05975261688718e-16,6.951697068653785,4629.014148039435,0.462956649839938,0.0
0.03775372701056263,0.9878321534375043,107.75380928473888,-65.7989444217888,340.95985345859754,0.0,8.440099197418787,10,-1.1461054327810415e-16,113.35352542662713,100,-0.037753727010562746,9.763178606303779,4629.014148039435,0.4435684357208133,0.04776793835082095
0.03613747166794107,0.9868163849359122,97.62202279454186,-135.40550892455516,355.1860449806842,0.0,8.433869249576604,11,4.940048370372097e-17,108.64302676511691,100,-0.03613747166794102,8.470613575221812,4600.265276306107,0.40700535399395543,0.047471623301718946
0.0,0.9824766893226388,104.1641181432925,-101.66554648467475,465.8568757554127,0.0,8.407379312987219,12,-2.3183899244827446e-16,145.4099538651199,100,-2.3183899244827446e-16,16.271760110549675,4480.004424352467,0.4685527192637172,0.0
0.0,0.9824766893226388,107.32217137449015,-164.6030070572014,397.4202464549223,0.0,8.407379312987219,13,-2.7241542355227467e-17,146.6108448453834,100,-2.7241542355227467e-17,17.29907333912712,4480.004424352467,0.5107770522571133,0.0
0.0,0.9824766893226388,117.33282348219286,-114.39238795241289,442.9029949662103,0.0,8.407379312987219,14,3.007816218314474e-17,133.70742445964004,100,3.007816218314474e-17,10.744381270487166,4480.004424352467,0.4689964426948863,0.0
0.03749049357244823,0.9824766893226388,108.03591422065637,-131.87387884730083,414.8640112389165,0.0,8.407379312987219,15,1.7775114713458606e-16,145.52267338106734,100,-0.03749049357244805,14.490409389984585,4480.004424352467,0.48579935508047434,0.04825441795733199
0.0,0.9818338919733463,128.31540141791208,-115.81199236688738,439.99992626493446,0.0,8.40332553399304,16,2.4900081996293012e-17,185.16345169389487,100,2.4900081996293012e-17,20.10080824837525,4461.880237067797,0.5370917073472551,0.0
0.0,0.9818338919733463,130.54756024709383,-84.34980467101803,647.5692968957394,0.0,8.40332553399304,17,-2.0551782498046123e-16,174.23262014292143,100,-2.0551782498046123e-16,17.84897756027528,4461.880237067797,0.5385209016144816,0.0
0.040058252674946795,0.9818338919733463,125.10644899551026,-97.10438168234074,569.5766920924204,0.0,8.40332553399304,18,5.271161285236303e-16,188.45023613481567,100,-0.04005825267494627,19.17635912841709,4461.880237067797,0.5425305964437603,0.04856276013401329
0.03846527833202261,0.9779410437025984,129.761406003297,-86.28643172499086,448.4819560804469,0.0,8.379239675245602,19,1.1706857705462425e-16,194.516902436237,100,-0.03846527833202249,23.401060684556224,4355.695923449356,0.5640194118423127,0.04965439296951687
0.04012096618134682,0.9767061473266336,122.25669907298764,-80.85762583184521,482.14647810642555,0.0,8.371668643511553,20,8.015366148583781e-17,202.3287704419537,100,-0.04012096618134674,24.97658350938031,4322.8433323211975,0.5834853220918723,0.04781585529177588
0.039802327813796945,0.9735672365741532,118.7495581816296,-24.562005303793455,500.5653233567812,0.0,8.352280443034628,21,5.275779813018744e-16,226.6481580608792,100,-0.03980232781379642,27.932706259325144,4239.838437066781,0.5632262072088537,0.04939715945372105
