AverageAbsQ,AverageQ,Epoch,AverageAbsY,StdReturn,MaxEsReturn,AverageReturn,StdEsReturn,MaxReturn,AverageEsReturn,AverageY,AveragePolicySurr,AverageAbsQYDiff,MinReturn,AverageAction,PolicyRegParamNorm,MinEsReturn,QFunRegParamNorm,AverageQLoss,AverageDiscountedReturn
0.043896704990876646,-0.043757001282846375,10,0.044134483920368124,0.0,2.0,0.0,4.0184076448264925,0.0,-8.18,-0.044042361468232136,0.03906873481980054,0.014770123356384886,0.0,0.9935998340639629,27.046145959570772,-11.0,29.205569701249278,0.002731879163842638,0.0
0.029625904640448595,-0.029615182636662192,11,0.029708707865363147,0.0,0.0,0.0,0.0,0.0,0.0,-0.029633376058557,0.02626531558595906,0.009512231836228104,0.0,0.9802544933574449,27.047560034573795,0.0,31.316240140047718,0.0014015851176427385,0.0
0.026793689183971344,-0.026790187586638644,12,0.026852475643351827,0.0,0.0,0.0,0.0,0.0,0.0,-0.026771890676677564,0.02507949054977213,0.0051765919430484565,0.0,0.9988612278561233,27.415331271848437,0.0,32.5696643915181,0.0007151907653388384,0.0
0.026432483141277937,-0.026416414687091907,13,0.026509622962216026,0.0,0.0,0.0,5.0,0.0,-5.0,-0.026405947319029323,0.0250712095262585,0.003919449930374724,0.0,0.8924990765152694,27.49287281507972,-10.0,33.59374083609998,0.0005321400514813209,0.0
0.02691351520827062,-0.026900511176418115,14,0.02696775783159354,4.280186911806539,0.0,-2.4,4.714045207910316,1.0,-3.3333333333333335,-0.0269048605105371,0.025252651430794904,0.003618186822290952,-10.0,0.9464792234882975,27.884242178929227,-10.0,34.602751583215515,0.0005081169818866697,-0.8471798745560767
0.027193833733476145,-0.02716906202548296,15,0.027258212360312242,4.9961896838831805,-1.0,-6.342105263157895,4.5,1.0,-5.5,-0.027172878204557955,0.025295432695070584,0.003427421763024335,-12.0,0.8565342669371765,28.167620377716617,-10.0,35.4821771649431,0.0004309770244205596,-2.40929169155433
0.02812022087863205,-0.02808955640777738,16,0.028165978186074376,4.184420042894466,-1.0,-7.795918367346939,4.496912521077347,1.0,-7.333333333333333,-0.028083935501962528,0.026222024739576456,0.0035207564081518265,-11.0,0.9024604791860927,28.366390573029186,-11.0,36.4303222118682,0.000533548175899847,-2.7358301555642095
0.028191088975390487,-0.02815612677086649,17,0.028232384694200172,3.997282916022937,0.0,-8.02127659574468,3.539860483818248,1.0,-8.571428571428571,-0.028162581835137004,0.02629728708403807,0.0031092410298216417,-11.0,0.9056375797468909,28.559910097684895,-11.0,37.129166817183005,0.00046613629752690434,-2.7162371727066286
0.029375688843014506,-0.029354224033796856,18,0.029400373123909963,4.936697535073496,0.0,-5.515151515151516,4.496912521077347,1.0,-6.333333333333333,-0.029331923699142632,0.027399516337936185,0.004298311879235782,-11.0,0.9531242324213042,28.797950731479812,-10.0,38.10983567384968,0.0008216137190473832,-1.9079157350801308
0.028391740412753493,-0.028342058824453207,19,0.02848643746698582,5.145986337940113,0.0,-5.393939393939394,4.496912521077347,2.0,-6.333333333333333,-0.028375795209057766,0.026398730246273976,0.0034188692026852555,-11.0,0.9321153513669557,28.999854713704117,-10.0,38.84629714245177,0.0006296798315902072,-1.9370650507114586
0.029257094113714816,-0.029155747524223626,20,0.02937799877477372,4.463030254575298,0.0,-2.6538461538461537,0.5,1.0,-0.5,-0.02913619889362663,0.026762724320701283,0.0036182041418379267,-10.0,0.9801827514882986,29.166768471619488,-1.0,39.592038806340156,0.0006052855359543578,-0.7978569418497522
0.02932923999648038,-0.029044801689819422,21,0.029535870959594635,4.96547613533162,0.0,-5.783783783783784,4.714045207910316,1.0,-3.3333333333333335,-0.029049323889488332,0.026435632745880233,0.00390907144655287,-11.0,0.9428538837213755,29.320346033851827,-10.0,40.360817468342006,0.000768650204235833,-2.597028254477177
0.02920316521120301,-0.028633116832263567,22,0.029431774653229468,2.851131870042655,0.0,-9.107438016528926,3.9015666369065416,0.0,-8.666666666666666,-0.02863184652192781,0.026167150794565337,0.003945513989773212,-12.0,0.9283190985456674,29.459575963492306,-11.0,41.13505672895708,0.0007113260586912849,-6.384161923398048
0.029539970309995014,-0.028600665029092868,23,0.02982638914560785,4.879385207175183,-1.0,-6.54,4.242640687119285,1.0,-7.0,-0.02862991336941433,0.02629659667358107,0.004586809414445492,-11.0,0.9275668062506914,29.568406081600234,-10.0,42.03747748649792,0.0009687138886612926,-4.341293169857269
0.02908688330838072,-0.02810486845766004,24,0.029299542163532557,4.946491022684667,0.0,-4.03125,4.763139720814412,1.0,-5.25,-0.02808012822803266,0.026157925009940897,0.0040732361087469976,-10.0,0.921567189485249,29.69005368683627,-10.0,42.713544821800305,0.000682352935798726,-2.42195962427294
0.029845501091898655,-0.02895592864752101,25,0.030078892879993876,4.889174671903806,0.0,-6.425531914893617,4.330127018922194,1.0,-7.5,-0.02894916339873669,0.026967440004784043,0.004433446923683479,-11.0,0.9717409225607333,29.82862167538605,-10.0,43.49983516324435,0.0007604287687059301,-4.117609005862688
0.030258199086044664,-0.029239669135241182,26,0.030525345731010164,5.035531348697853,2.0,-5.690476190476191,4.997958767010258,2.0,-6.857142857142857,-0.0292558143682522,0.02734799767141132,0.004613577380270397,-11.0,0.969953717223919,29.927028330945618,-10.0,44.3438901717326,0.0007986292499959191,-3.74218155177118
