Entropy,AverageReturn,Expl_MeanKL,dLoss,AveragePolicyStd,Expl_MaxKL,ExplainedVariance,Expl_StdKL,NumTrajs,Perplexity,BNN_DynModelSqLossBefore,LossAfter,AverageDiscountedReturn,MinReturn,Expl_MinKL,BNN_DynModelSqLossAfter,Iteration,MeanKL,MaxReturn,StdReturn
11.351508265637381,-9.78237650200267,0.0,0.06080530484815983,1.0,0.0,9.57456336436735e-10,0.0,749,85093.69866986667,3087.854218648862,-0.06080530484815938,-5.906824948346628,-12.0,0.0,1283.1718391086797,0,0.09702385740522577,1.0,1.4586088850709973
11.339847738272962,-9.483333333333333,342.34311711950824,0.06157492973144002,0.9985616467695996,1000.0,0.5240648313964038,315.609850284314,540,84107.22385366497,1278.9895661239727,-0.06157492973143997,-5.147619981425541,-12.0,4.871920242467289,670.9272774272127,1,0.0975246630183036,2.0,2.268483748788719
11.382881138658844,-9.508379888268156,156.96732657039976,0.05960046182882138,1.0040193984343606,1000.0,0.5063527858281616,228.4139410626323,537,87805.65090517027,675.5248333654183,-0.05960046182882137,-5.081431432492252,-12.0,1.9235212647202578,359.7615453783761,2,0.09717808410082812,3.0,2.2630594683659733
11.449842542085388,-8.850393700787402,110.11769863277506,0.06104084794206981,1.012508007192168,1000.0,0.4808573386182884,247.27109474274405,381,93886.56170156879,366.9880693587935,-0.061040847942069536,-4.350943270432748,-12.0,0.3081762175378858,189.77565023174148,3,0.09630139117406203,2.0,3.2492569071518846
11.48823952188232,-8.792553191489361,73.47200059511754,0.05837003062771957,1.0174808488889917,1000.0,0.4839914104696419,221.02437244536668,376,97561.62629509316,189.92347387960422,-0.05837003062771947,-4.200840381204158,-11.0,0.07527505788689394,96.02964026698854,4,0.09864609352105756,2.0,3.3004751225247415
11.492550587669204,-8.088339222614842,37.72968351590835,0.0496510678020836,1.0184025981391278,1000.0,0.38970407172406696,133.34094942928954,283,97983.12879401578,99.5189877833117,-0.04965106780208368,-3.541052387683805,-12.0,0.0012561571666864532,49.3409577811821,5,0.06567098948903331,2.0,3.9425160660248952
11.499589838354918,-8.437086092715232,9.628604790088355,0.06614888392565625,1.0194463273697756,1000.0,0.4295830113347008,42.28073078542433,302,98675.28989019623,49.091387631797815,-0.06614888392565582,-3.6613538476464575,-11.0,0.0012312668905487402,25.90803811457879,6,0.09981906094495,1.0,3.583583169166915
11.502935061710684,-7.569767441860465,3.9410334699050322,0.06322623047467775,1.0200747978882634,603.7451474878732,0.37042288745090735,17.22772995515985,258,99005.93350460508,26.548997888107913,-0.06322623047467789,-3.382371864357483,-12.0,9.881008661636985e-05,15.541770131771386,7,0.09833350583702362,2.0,4.250510314116745
11.493946837898589,-7.970149253731344,1.1672273341534871,0.06420741206600217,1.0189293667352692,1000.0,0.37385326130207064,9.227241670719314,268,98120.03331431281,15.5874653057313,-0.06420741206600263,-3.4025689943708795,-13.0,6.508582836961625e-05,10.999350896230213,8,0.09756750860915885,2.0,4.105766419095354
11.485372123094432,-7.402597402597403,0.6239190436199562,0.060819224073165395,1.0178732760887548,88.65149909109877,0.33466258080805134,2.6121921535171695,231,97282.27889770348,10.831315138872798,-0.060819224073165375,-2.904852180716101,-12.0,9.759570925301824e-05,8.91409293864622,9,0.09877941963316952,2.0,4.39281114894509
11.450740411728331,-6.953703703703703,0.4586588496694575,0.06445094232358828,1.013720755830071,1000.0,0.31960647024545374,6.484181737798913,216,93970.89745078966,8.920866161962913,-0.06445094232358801,-2.626416209865344,-11.0,0.00014729272415251805,7.966590782280223,10,0.09849336267861601,2.0,4.59948519514485
11.45795958348461,-7.23696682464455,0.2857712002303579,0.06507752866086798,1.0145104298926455,33.53670735666007,0.31511839948168363,1.1462001824290204,211,94651.7441171512,34.13960948932005,-0.06507752866086802,-2.5415559146557616,-12.0,0.0002700463743647595,28.982440977757133,11,0.09610446919044416,3.0,4.479628273956785
11.443544808289177,-6.338624338624339,0.2509718946063823,0.06342222180875629,1.0126762577591053,33.26284274422324,0.29785593528522414,0.9358454077657646,189,93297.14706525364,7.055263743242348,-0.0634222218087563,-2.118388841351232,-12.0,5.763747595352131e-05,6.312204147004306,12,0.09918428270025254,2.0,4.909944580085752
11.463719355462532,-5.780898876404494,0.16581683256153587,0.06260813228776312,1.0148533918761802,23.216161088354358,0.14455051004002262,0.6290183412809279,178,95198.48963380998,30.196521689502116,-0.06260813228776331,-2.080235356412846,-11.0,0.0003568811433668477,21.181833439319668,13,0.09740108869903098,2.0,4.919837770333817
11.467283884553598,-5.445121951219512,0.1303255768878804,0.06273892390653851,1.0156254582112747,17.093299412195353,0.2039226261126018,0.4572297754229458,164,95538.43292847744,32.59690369072217,-0.06273892390653878,-1.7817758828045593,-13.0,0.00014188157113563638,32.46756791079796,14,0.09800093808883688,2.0,5.042808268121081
11.470602834610123,-5.171974522292993,0.1060661808936655,0.05076945630277288,1.0161342975623051,11.334638424378154,0.19288115636510372,0.33692080666337243,157,95856.04699690627,5.722515261871555,-0.05076945630277298,-1.4983237265699354,-12.0,0.00024943381641493416,5.609976542365291,15,0.06482717928378616,2.0,5.065404510288795
11.451882320428805,-4.021428571428571,0.11057205785024267,0.061696901564377134,1.0138552957332272,6.95072692639799,0.12887005207520552,0.3134467265062408,140,94078.26492644046,5.61042350539172,-0.061696901564377134,-1.197713108077611,-12.0,0.0003133472219903375,5.7462816073361545,16,0.09987635314610528,2.0,5.026313413488284
