MinReturn,Iteration,MeanKL,LossAfter,MaxReturn,TrueAverageReturn,dLoss,MeanKL_Before,AverageReturn,Entropy,AverageDiscountedReturn,ExplainedVariance,Deterministic_TrueReturn,StdReturn,Perplexity,NumTrajs
-2.0,0,0.00865356050835,-0.0211563234584,2.0,0.0666666666667,0.0211563234584,0.0,0.0666666666667,1.67260030175,0.0375674775642,8.74463357281e-08,-1.0,0.754247233266,5.32599901125,75
-2.0,1,0.00653145854211,-0.0190574125837,2.0,0.226666666667,0.0190574125837,0.0,0.226666666667,1.65452208609,0.186082539253,0.148044308033,-1.0,0.872900656178,5.23057955803,75
-2.0,2,0.00656701086742,-0.0163960722865,3.0,0.240506329114,0.0163960722865,0.0,0.240506329114,1.65191609931,0.156335610469,0.104256260025,-2.0,0.874609350386,5.21696648231,79
-2.0,3,0.00665014038072,-0.0201915713338,2.0,-0.0533333333333,0.0201915713338,0.0,-0.0533333333333,1.65248245867,-0.0432982417856,0.14230044343,1.0,0.964618519877,5.21992199697,75
-3.0,4,0.00996333362579,-0.0254726929325,3.0,0.162162162162,0.0254726929325,0.0,0.162162162162,1.64887095327,0.120867823149,0.00128135705899,0.0,0.972972972973,5.20110422117,74
-1.0,5,0.00703917013802,-0.0205030877862,2.0,0.351351351351,0.0205030877862,0.0,0.351351351351,1.65477399127,0.226678468383,0.136364059721,-1.0,0.891891891892,5.2318973341,74
-2.0,6,0.00744491832608,-0.0202727792114,3.0,0.421052631579,0.0202727792114,0.0,0.421052631579,1.63801904654,0.279448338378,0.169863956971,0.0,0.921428494737,5.14496746957,76
-1.0,7,0.00655912590541,-0.0177816336403,4.0,0.615384615385,0.0177816336403,0.0,0.615384615385,1.62764099704,0.380817728376,0.262698222871,1.0,0.950448871428,5.09184885309,78
-2.0,8,0.00675733625061,-0.0184988636897,2.0,0.378378378378,0.0184988636897,0.0,0.378378378378,1.62519031396,0.230387936035,0.0497361777051,2.0,0.849526143,5.07938562322,74
-1.0,9,0.0064147462025,-0.0185441411214,3.0,0.716216216216,0.0185441411214,0.0,0.716216216216,1.60182455117,0.432731470919,0.157938487613,3.0,0.797297297297,4.9620777348,74
-1.0,10,0.00657480994732,-0.0182032601742,3.0,0.733333333333,0.0182032601742,0.0,0.733333333333,1.59924765024,0.447312516782,0.273417694616,1.0,0.853749898324,4.94930741305,75
-2.0,11,0.00668763850067,-0.0185668525947,3.0,0.897435897436,0.0185668525947,0.0,0.897435897436,1.58124885602,0.528376224256,0.257691738005,0.0,1.03266823413,4.86102273959,78
-1.0,12,0.0067425944792,-0.0186891443066,3.0,0.75,0.0186891443066,0.0,0.75,1.5602537426,0.431744284734,0.319392266276,3.0,0.91945349901,4.76002891402,76
-1.0,13,0.00647116501658,-0.01883721048,4.0,1.02666666667,0.01883721048,0.0,1.02666666667,1.56240577022,0.59891102959,0.180097819128,0.0,1.11920606781,4.77028365799,75
-1.0,14,0.00650916773276,-0.0191630124388,4.0,0.945945945946,0.0191630124388,0.0,0.945945945946,1.54907496345,0.599355327776,0.262601286418,1.0,0.984911738286,4.70711391563,74
-2.0,15,0.00994272890385,-0.0225010660994,4.0,0.961038961039,0.0225010660994,0.0,0.961038961039,1.52682568614,0.58082384306,0.321123008186,3.0,1.13322386277,4.60354052202,77
-1.0,16,0.00640496795997,-0.0176160811512,4.0,1.06493506494,0.0176160811512,0.0,1.06493506494,1.5424137448,0.578068624491,0.357249652839,5.0,1.08517354334,4.67586300077,77
-1.0,17,0.00965711618411,-0.0246145528025,5.0,1.29333333333,0.0246145528025,0.0,1.29333333333,1.52930198439,0.784245832829,0.258052114209,0.0,1.11682088487,4.61495438759,75
-2.0,18,0.00647734495284,-0.0195870129984,5.0,1.28378378378,0.0195870129984,0.0,1.28378378378,1.52964761009,0.775789581996,0.258228568066,0.0,1.22496850782,4.61654971009,74
0.0,19,0.00993999173436,-0.0225942363665,4.0,1.45333333333,0.0225942363665,0.0,1.45333333333,1.50970113444,0.815518401953,0.400580178833,2.0,0.956289124109,4.52537811251,75
-1.0,20,0.00646195159647,-0.0175200953207,4.0,1.42105263158,0.0175200953207,0.0,1.42105263158,1.47856121394,0.786118561535,0.289494001173,3.0,1.16147771004,4.38662971666,76
-1.0,21,0.00645772029779,-0.018089774206,5.0,1.32894736842,0.018089774206,0.0,1.32894736842,1.46616758852,0.782313102805,0.283277808637,3.0,1.08079110761,4.33259898106,76
0.0,22,0.00990583538688,-0.0232261714793,5.0,1.76,0.0232261714793,0.0,1.76,1.44105167464,1.03909418053,0.210814966919,4.0,1.14122740941,4.22513695066,75
-2.0,23,0.00651653896767,-0.0182301785162,4.0,1.48,0.0182301785162,0.0,1.48,1.45060722408,0.875702976442,0.338142510115,2.0,1.02449987799,4.26570396708,75
-1.0,24,0.00644308104639,-0.0176586098403,6.0,1.84,0.0176586098403,0.0,1.84,1.45048269866,1.12623484849,0.395856783049,1.0,1.33706145458,4.26517281155,75
-1.0,25,0.00988929656295,-0.0222524603939,5.0,1.65789473684,0.0222524603939,0.0,1.65789473684,1.44955772381,0.991074283156,0.343069861148,4.0,1.31341891721,4.261229458,76
-1.0,26,0.00641505620849,-0.0185477884163,4.0,1.45333333333,0.0185477884163,0.0,1.45333333333,1.45293095669,0.866678084431,0.351662019667,4.0,1.06198974676,4.27562784824,75
-1.0,27,0.00648886883296,-0.0189312364153,4.0,1.72972972973,0.0189312364153,0.0,1.72972972973,1.42003647545,0.998177229714,0.381530959829,4.0,1.11860551819,4.13727134634,74
