MeanKL_Before,5Max_TrueReturn,3Avg_TrueReturn,Iteration,StdReturn,VisitationMax,ExplainedVariance,3Std_TrueReturn,Perplexity,5Deterministic_TrueReturn,MaxReturn,4Avg_TrueReturn,5Std_TrueReturn,4Std_TrueReturn,all_lat_StdAvgReturn,VisitationDifferents,1Max_TrueReturn,0Avg_TrueReturn,latent_reg_LossAfter,5Avg_TrueReturn,dLoss,AvgPath_Grid_CountBonus,VisitationOverlap,0Deterministic_TrueReturn,latent_reg_dLoss,3Max_TrueReturn,latent_regLowerB_MI_5first,2Deterministic_TrueReturn,2Std_TrueReturn,MinReturn,latent_reg_LossBefore,2Max_TrueReturn,0Max_TrueReturn,4Max_TrueReturn,AverageReturn,VisitationMin,LossAfter,MinPolicyStd,AvgPathGridBonus,latent_regLowerB_MI_5last,1Std_TrueReturn,all_lat_MaxAvgReturn,4Deterministic_TrueReturn,1Avg_TrueReturn,AvgPath_Grid_DistBonus,MaxPolicyStd,Entropy,NumTrajs,AverageDiscountedReturn,MeanKL,1Deterministic_TrueReturn,0Std_TrueReturn,AveragePolicyStd,2Avg_TrueReturn,AvgPath_Grid_EntropyBonus,AvgPath_SurviBonus,TrueAverageReturn,all_lat_MinAvgReturn,latent_regLowerB_MI,3Deterministic_TrueReturn
0.0,679.813560303,111.226522642,0,149.286857769,5942.0,2.47168951972e-12,214.356727738,85093.6986699,31.8015416405,1403.82015131,77.2253432578,159.569091879,123.915428221,19.6019025281,845,811.471791548,55.2955235826,1.0974546509446848,97.8350885898,0.0354250475097,8.73313254245,184294,45.6712758068,0.778689539764,1416.53541001,0.087232018331,8.71354713313,128.04463054,-1.85485923523,1.8761441907083702,657.51471531,512.198646339,832.019614055,82.6551504085,0.0,-0.0354250475097,1.0,-7.40909567859,0.735239464229,161.138102407,111.226522642,113.843562592,110.648424017,444.585115448,1.0,11.3515082656,509,25.7549034414,0.00994963765908,3.79931791923,91.9018971046,1.0,91.2200422594,-148.181913572,102.135559921,90.0642460871,55.2955235826,0.694304758283,15.8859491604
0.0,1213.30300581,99.6257915619,1,148.052930545,5579.0,0.236501038307,170.053433909,85153.0226298,10.2436684501,1191.63866721,96.7408806062,160.219527441,142.271216812,14.8997685219,825,797.901695697,77.5865895851,0.9551583112445191,74.5152765462,0.03581286346,9.12953095262,179535,126.013722354,0.244539476729,1193.01875862,0.0484862145875,3.73417718551,137.882606656,-0.960105419782,1.1996977879735873,535.781043026,938.839361562,747.63771253,87.6206120677,0.0,-0.03581286346,0.999558471578,-7.83291158854,0.853455002608,148.545515215,113.906235289,8.71227614047,113.906235289,475.044205746,1.00068523591,11.3522051832,494,26.4106261527,0.00992813251224,5.39734210665,139.716663903,1.00008717707,110.110354713,-156.658231771,107.453441296,95.4535236562,74.5152765462,0.836601097984,19.1636671326
0.0,458.545363453,101.991904331,2,126.887691219,6258.0,0.186225594368,136.620816499,85142.5557848,45.0597818013,1216.70718233,111.013080837,94.761693838,169.929477878,24.8574509426,789,634.488751485,38.8412648583,0.9461284975118897,63.5284223607,0.0353409972128,8.03732283508,155417,27.4159852984,0.175525088993,794.609779183,0.134714037333,9.44874062151,162.447873645,-1.93961181381,1.1216535865048916,1075.79248936,203.401316172,1224.97516937,73.3690902859,0.0,-0.0353409972128,0.999620551919,-7.46515320224,0.897522382699,109.713549871,111.013080837,272.671192593,76.510320492,403.565855192,1.0007195356,11.3520822575,534,23.2614487709,0.00994697719283,5.12459154727,45.0225565824,1.00007179561,97.2727321187,-149.303064045,100.282771536,80.8342434882,38.8412648583,0.845630911716,8.02524589851
0.0,1262.45975583,103.920603249,3,144.946196099,5816.0,0.180443540421,187.717243724,85152.1804525,30.9569781061,1389.11645668,98.7386036061,156.458007467,131.945948741,19.0622716236,784,994.491068101,48.8224662503,0.8690503816723665,93.3754619106,0.0358940907208,8.77850693569,182460,9.21299248672,0.159884253855,1400.20545804,0.0709981817923,3.48006090214,142.786990914,-1.20845470409,1.028934635527752,881.868040181,243.662179171,784.482120022,83.642702888,0.0,-0.0358940907208,0.999493631098,-7.83860615935,0.988947037737,158.779475225,104.255472016,22.3460223246,104.255472016,452.031608425,1.00068074765,11.352195293,495,26.6793739158,0.00999371172223,42.9881048702,60.6435884504,1.00008593608,89.630299882,-156.772123187,107.024242424,91.4813090474,48.8224662503,0.922709027556,46.7749663288
0.0,268.682337212,97.6140581311,4,133.922833374,5586.0,0.213308901672,166.744127469,85156.5551125,3.15427726502,1374.92606935,87.6634202554,64.1100179676,103.961956483,15.1874499882,767,876.15085545,65.8538616699,0.8389607186962458,60.9771462064,0.0378998215959,8.37581107568,263854,45.2899478638,0.156202545177,1003.08837491,0.100277024996,19.8185141757,170.360097071,-1.45204599973,0.9951632638729702,1383.55602309,496.891899612,519.36375152,76.48152238,0.0,-0.0378998215959,0.99938850232,-7.66256176605,1.00569105866,154.805719528,102.026582192,26.1552137419,102.026582192,420.106984112,1.00069977667,11.3522466662,499,24.8908717908,0.00993284730596,59.4251604078,93.0218872618,1.00009237259,79.7722570304,-153.251235321,103.709418838,84.144084146,60.9771462064,0.952798690532,15.9077554619
0.0,401.592310335,84.8142360211,5,139.651423655,6496.0,0.216003810003,102.162699464,85139.5958426,35.6669588315,1412.61086798,99.5238821801,70.1744132903,140.716023919,32.5179299709,843,1425.98513467,51.063706641,0.857895339913021,57.5791850489,0.0283865838344,8.59078466041,208925,35.3042810354,0.128438064363,449.38319362,0.117381098628,7.44356593867,124.595524196,-1.22921166325,0.9863334042761737,795.833564923,517.889134855,701.530157419,78.8738143732,0.0,-0.0283865838344,0.999386258262,-7.79174535455,0.991028414185,256.592526565,150.450653806,21.8016825234,150.450653806,428.651515894,1.00073375278,11.3520474924,506,24.3628782403,0.00642814855998,409.900755144,75.9887790913,1.00006747741,84.5727915112,-155.834907091,104.64229249,86.6655597278,51.063706641,0.933864069315,22.3062825698
0.0,816.684084302,112.813613032,6,166.010371635,5441.0,0.235333976464,152.616458867,85140.0523177,31.2183871929,1275.43126461,151.299196507,166.414307819,237.970081152,26.2439108348,868,757.064800059,63.6808674693,0.8542714155018755,125.77306928,0.0356226087986,10.6637090904,167741,200.738523351,0.119396146504,895.995347493,0.0907518047154,6.60725883943,149.469100671,-1.5183372413,0.9736675620059134,745.969254349,544.614597913,1293.87381964,104.930653328,0.0,-0.0356226087986,0.999389433286,-8.65082309646,0.995260994143,143.008135547,151.299196507,31.6090790526,113.586248463,563.063583531,1.00072317327,11.3520528539,439,29.7710915171,0.00994169596602,40.000124926,101.603567245,1.00006814631,104.223045536,-173.016461929,120.619589977,113.581476424,63.6808674693,0.937487993726,55.4096911916
0.0,956.669246102,102.873465145,7,158.730001872,6808.0,0.268826597303,187.603957537,85168.3398961,16.5665090274,1188.01859407,83.6958125904,169.215042832,133.35749262,30.1920670093,837,1197.16667172,51.4634225718,0.8540510314876119,100.255501854,0.033668478884,8.44358094491,209647,234.986191462,0.125495436306,1061.59797259,0.135899064304,12.4713214936,77.7023242546,-1.68714472724,0.9795464677937329,304.311063613,382.09744139,736.845715608,81.9696841104,0.0,-0.033668478884,0.999391000841,-7.45941590933,1.01431471168,237.40185642,140.184578158,59.3328951803,140.184578158,440.36291561,1.00062153969,11.3523850463,528,24.2089393424,0.00995928769726,120.033242692,68.5386040414,1.00010966385,55.9357620353,-149.188318187,101.142045455,89.4291000198,51.4634225718,0.93770837774,353.085652986
0.0,585.888446824,96.3520651582,8,181.374135688,5369.0,0.237958203098,187.447715692,85172.5684497,31.824323716,1892.72923214,90.4729666806,130.667017981,159.755094806,19.7505205417,923,1898.71548786,84.3141873382,0.8326365450532192,107.402796039,0.0364921058944,10.2115612306,232700,11.2457112536,0.126382891296,1175.91502797,0.12095494201,8.85888830074,174.806862398,-1.59908589265,0.9590194363495743,974.78305849,707.314459864,866.718011269,99.2094650327,0.0,-0.0364921058944,0.99948941892,-8.26278172225,1.04131221813,268.490275137,144.836361437,201.517862291,144.836361437,534.51186947,1.00070431205,11.3524346944,459,28.8749381153,0.00992140090321,108.943838804,129.743112004,1.00011586875,111.118425819,-165.255634445,114.849673203,107.472246755,84.3141873382,0.959122864175,9.92661077201
0.0,1362.3556661,74.8866361066,9,174.134850412,5514.0,0.237530884111,121.147106647,85154.8433973,22.3677792096,1348.2050144,151.227567979,193.956632335,221.209063869,39.225311301,843,1111.27938891,45.5142107948,0.8255292206533205,127.159118483,0.0338536941315,10.5135143318,158335,1458.03569014,0.102986199186,782.597886586,0.096322273289,64.6510976589,180.505132453,-0.531187593262,0.9285154198396188,787.913884739,276.945784296,969.628751276,104.494649992,0.0,-0.0338536941315,0.999406655936,-8.54096188462,1.07599694648,201.402863757,151.227567979,101.522045424,148.670839192,560.108958573,1.00097150099,11.3522265652,440,28.7877048883,0.00992489885344,122.67014298,61.8649623399,1.00008987619,130.046831768,-170.819237692,118.863636364,113.035611877,45.5142107948,0.966230188575,20.2225823383
